j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
4,SAHLIN WALLENIUS Leo,D,0.0,0.0,0.0,0.0,0.0,0.0,12:45,18.0,0.0,0.0,0.0,1,swe,swe-svk,2026,0.0,RD,1
8,CARELL Felix,D,0.0,0.0,0.0,0.0,0.0,0.0,11:39,15.0,0.0,0.0,0.0,1,swe,swe-svk,2026,0.0,LD,1
16,FRONDELL Anton,F,1.0,1.0,2.0,0.0,8.0,0.0,13:43,17.0,0.0,0.0,0.0,1,swe,swe-svk,2026,0.0,LW,1
18,EKLUND Victor,F,1.0,0.0,1.0,2.0,3.0,0.0,14:15,15.0,0.0,0.0,0.0,1,swe,swe-svk,2026,0.0,RW,1
28,NILSON Eric,F,0.0,0.0,0.0,0.0,0.0,0.0,10:50,13.0,0.0,0.0,0.0,1,swe,swe-svk,2026,0.0,C,1
3,OHRQVIST Felix,D,0.0,0.0,0.0,0.0,2.0,0.0,10:50,16.0,0.0,0.0,0.0,1,swe,swe-svk,2026,0.0,RD,2
5,BOUMEDIENNE Sascha,D,0.0,0.0,0.0,0.0,2.0,0.0,11:43,16.0,0.0,0.0,0.0,1,swe,swe-svk,2026,0.0,LD,2
15,STENBERG Ivar,F,0.0,1.0,1.0,0.0,0.0,0.0,12:26,14.0,0.0,0.0,0.0,1,swe,swe-svk,2026,1.0,LW,2
21,BJORCK Viggo,F,0.0,0.0,0.0,0.0,0.0,0.0,11:49,18.0,0.0,0.0,0.0,1,swe,swe-svk,2026,0.0,C,2
25,GENBORG Eddie,F,0.0,0.0,0.0,0.0,0.0,0.0,10:17,14.0,0.0,0.0,0.0,1,swe,swe-svk,2026,0.0,RW,2
11,PETTERSSON Lucas,F,0.0,0.0,0.0,2.0,1.0,0.0,7:21,11.0,0.0,0.0,0.0,1,swe,swe-svk,2026,0.0,LW,3
19,HAKANSSON William,D,0.0,0.0,0.0,0.0,2.0,0.0,8:07,13.0,0.0,0.0,0.0,1,swe,swe-svk,2026,0.0,RD,3
20,FREIJ Alfons,D,0.0,1.0,1.0,0.0,3.0,0.0,14:28,17.0,0.0,0.0,0.0,1,swe,swe-svk,2026,0.0,LD,3
22,KRANTZ Loke,F,0.0,0.0,0.0,0.0,0.0,0.0,3:32,6.0,0.0,0.0,0.0,1,swe,swe-svk,2026,0.0,RW,3
26,BERGLUND Jack,F,0.0,1.0,1.0,2.0,2.0,0.0,11:12,14.0,0.0,0.0,0.0,1,swe,swe-svk,2026,0.0,C,3
7,GUSTAFSSON Viggo,D,0.0,0.0,0.0,0.0,0.0,0.0,3:10,4.0,0.0,0.0,0.0,1,swe,swe-svk,2026,0.0,LD,4
12,GASTRIN Milton,F,0.0,0.0,0.0,2.0,2.0,0.0,7:35,12.0,0.0,0.0,0.0,1,swe,swe-svk,2026,0.0,C,4
14,ERIKSSON Linus,F,0.0,0.0,0.0,0.0,1.0,0.0,6:29,11.0,0.0,0.0,0.0,1,swe,swe-svk,2026,0.0,LW,4
29,JUUSTOVAARA Casper,F,0.0,0.0,0.0,0.0,0.0,0.0,7:17,11.0,0.0,0.0,0.0,1,swe,swe-svk,2026,0.0,RW,4
23,DANIELSSON Liam,F,0.0,0.0,0.0,0.0,0.0,0.0,3:48,6.0,0.0,0.0,0.0,1,swe,swe-svk,2026,0.0,LW,5
1,LIV Herman,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,swe,swe-svk,2026,0.0,GK,2
30,HARENSTAM Love,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,swe,swe-svk,2026,0.0,GK,1
1,LIV Herman,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,swe,swe-svk,2026,0.0,GK,2
30,HARENSTAM Love,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.0,1.0,16.0,1,swe,swe-svk,2026,0.0,GK,1
5,KOVALCIK Filip,D,0.0,0.0,0.0,0.0,0.0,0.0,10:18,11.0,0.0,0.0,0.0,1,svk,swe-svk,2026,0.0,RD,1
10,POBEZAL Tomas,F,1.0,0.0,1.0,4.0,4.0,0.0,9:38,15.0,0.0,0.0,0.0,1,svk,swe-svk,2026,0.0,C,1
11,SVRCEK Michal,F,0.0,0.0,0.0,0.0,0.0,0.0,8:45,15.0,0.0,0.0,0.0,1,svk,swe-svk,2026,0.0,RW,1
14,MISIAK Alex,F,0.0,1.0,1.0,0.0,3.0,0.0,10:36,14.0,0.0,0.0,0.0,1,svk,swe-svk,2026,0.0,LW,1
25,FABUS Andrej,D,0.0,0.0,0.0,0.0,0.0,0.0,12:27,16.0,0.0,0.0,0.0,1,svk,swe-svk,2026,0.0,LD,1
6,CAPOS Michal,D,0.0,0.0,0.0,0.0,0.0,0.0,11:05,15.0,0.0,0.0,0.0,1,svk,swe-svk,2026,0.0,RD,2
7,KALMAN Adam,D,0.0,0.0,0.0,0.0,0.0,0.0,12:02,15.0,0.0,0.0,0.0,1,svk,swe-svk,2026,0.0,LD,2
12,CHOVAN Jan,F,0.0,0.0,0.0,0.0,1.0,0.0,12:22,16.0,0.0,0.0,0.0,1,svk,swe-svk,2026,0.0,LW,2
13,TOMIK Tobias,F,0.0,0.0,0.0,0.0,1.0,0.0,10:31,15.0,0.0,0.0,0.0,1,svk,swe-svk,2026,0.0,RW,2
28,PITKA Tobias,F,0.0,0.0,0.0,0.0,2.0,0.0,11:54,16.0,0.0,0.0,0.0,1,svk,swe-svk,2026,0.0,C,2
15,STRAKA Andreas,F,0.0,0.0,0.0,0.0,0.0,0.0,8:44,14.0,0.0,0.0,0.0,1,svk,swe-svk,2026,0.0,RW,3
21,NEMEC Adam,F,0.0,0.0,0.0,0.0,2.0,0.0,9:16,14.0,0.0,0.0,0.0,1,svk,swe-svk,2026,0.0,LW,3
22,GOLJER Adam,D,0.0,0.0,0.0,0.0,1.0,0.0,9:51,12.0,0.0,0.0,0.0,1,svk,swe-svk,2026,0.0,RD,3
27,BELUSKO Adam,D,0.0,0.0,0.0,2.0,0.0,0.0,11:31,13.0,0.0,0.0,0.0,1,svk,swe-svk,2026,0.0,LD,3
29,CHRENKO Tomas,F,0.0,0.0,0.0,0.0,2.0,0.0,10:02,14.0,0.0,0.0,0.0,1,svk,swe-svk,2026,0.0,C,3
8,LISCINSKY Michal,F,0.0,0.0,0.0,0.0,0.0,0.0,7:27,10.0,0.0,0.0,0.0,1,svk,swe-svk,2026,0.0,LW,4
16,LISY Matus,D,0.0,0.0,0.0,0.0,0.0,0.0,7:47,12.0,0.0,0.0,0.0,1,svk,swe-svk,2026,0.0,LD,4
23,DUBRAVIK Jakub,F,0.0,0.0,0.0,2.0,0.0,0.0,7:19,10.0,0.0,0.0,0.0,1,svk,swe-svk,2026,0.0,RW,4
24,TOMKA Lukas,F,0.0,0.0,0.0,0.0,1.0,0.0,7:19,10.0,0.0,0.0,0.0,1,svk,swe-svk,2026,0.0,C,4
18,MURIN Samuel,F,0.0,0.0,0.0,0.0,0.0,0.0,3:31,5.0,0.0,0.0,0.0,1,svk,swe-svk,2026,0.0,LW,5
1,PRADEL Michal,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,svk,swe-svk,2026,0.0,GK,2
30,LENDAK Alan,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,svk,swe-svk,2026,0.0,GK,1
1,PRADEL Michal,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,svk,swe-svk,2026,0.0,GK,2
30,LENDAK Alan,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,26.0,2.0,24.0,1,svk,swe-svk,2026,0.0,GK,1
