j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
7,NIEMINEN Daniel,D,0.0,0.0,0.0,0.0,1.0,1.0,19:12,25.0,0.0,0.0,0.0,10,fin,fin-lat,2026,0.0,RD,1
22,HEMMING Emil,F,2.0,0.0,2.0,0.0,7.0,2.0,16:28,16.0,0.0,0.0,0.0,10,fin,fin-lat,2026,1.0,RW,1
27,MIETTINEN Julius,F,0.0,1.0,1.0,0.0,0.0,2.0,15:51,17.0,0.0,0.0,0.0,10,fin,fin-lat,2026,0.0,C,1
33,KIVIHARJU Aron,D,0.0,1.0,1.0,0.0,1.0,1.0,19:40,23.0,0.0,0.0,0.0,10,fin,fin-lat,2026,0.0,LD,1
37,VANHANEN Matias,F,0.0,2.0,2.0,0.0,2.0,1.0,17:09,18.0,0.0,0.0,0.0,10,fin,fin-lat,2026,0.0,LW,1
12,SAARELAINEN Joona,F,1.0,1.0,2.0,2.0,2.0,3.0,15:08,19.0,0.0,0.0,0.0,10,fin,fin-lat,2026,0.0,LW,2
13,VAISANEN Veeti,D,0.0,0.0,0.0,0.0,2.0,2.0,16:53,22.0,0.0,0.0,0.0,10,fin,fin-lat,2026,0.0,LD,2
15,KOIVU Aatos,F,0.0,1.0,1.0,0.0,2.0,3.0,13:31,15.0,0.0,0.0,0.0,10,fin,fin-lat,2026,0.0,RW,2
25,BOELIUS Lasse,D,1.0,1.0,2.0,0.0,6.0,2.0,16:15,19.0,0.0,0.0,0.0,10,fin,fin-lat,2026,0.0,RD,2
28,RUOHONEN Heikki,F,1.0,2.0,3.0,0.0,3.0,3.0,15:28,18.0,0.0,0.0,0.0,10,fin,fin-lat,2026,0.0,C,2
2,JOKINEN Mitja,D,0.0,0.0,0.0,0.0,2.0,0.0,15:13,24.0,0.0,0.0,0.0,10,fin,fin-lat,2026,0.0,LD,3
6,PIIPARINEN Juho,D,0.0,1.0,1.0,0.0,1.0,3.0,15:09,20.0,0.0,0.0,0.0,10,fin,fin-lat,2026,0.0,RD,3
10,VESTERINEN Roope,F,1.0,0.0,1.0,0.0,2.0,1.0,14:55,17.0,0.0,0.0,0.0,10,fin,fin-lat,2026,0.0,LW,3
23,TUUVA Leo,F,0.0,0.0,0.0,0.0,2.0,2.0,15:31,16.0,0.0,0.0,0.0,10,fin,fin-lat,2026,0.0,RW,3
29,KUHTA Jasper,F,1.0,1.0,2.0,0.0,2.0,2.0,15:27,16.0,0.0,0.0,0.0,10,fin,fin-lat,2026,0.0,C,3
4,NYKYRI Niklas,D,0.0,2.0,2.0,0.0,2.0,5.0,13:36,19.0,0.0,0.0,0.0,10,fin,fin-lat,2026,0.0,LD,4
20,PIKKARAINEN Kasper,F,0.0,0.0,0.0,2.0,1.0,0.0,12:51,18.0,0.0,0.0,0.0,10,fin,fin-lat,2026,0.0,RW,4
21,WESTERGARD Max,F,1.0,1.0,2.0,0.0,2.0,2.0,14:01,19.0,0.0,0.0,0.0,10,fin,fin-lat,2026,0.0,LW,4
38,SUVANTO Oliver,F,0.0,0.0,0.0,0.0,1.0,0.0,13:37,19.0,0.0,0.0,0.0,10,fin,fin-lat,2026,0.0,C,4
35,JOKI Atte,F,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,10,fin,fin-lat,2026,0.0,LW,5
1,SAARINEN Kim,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,fin,fin-lat,2026,0.0,GK,2
