j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
5,KOSE Fabio,D,0.0,0.0,0.0,2.0,1.0,0.0,20:11,23.0,0.0,0.0,0.0,11,ger,ger-swe,2026,0.0,LD,1
7,HANDEL Carlos,D,0.0,0.0,0.0,0.0,5.0,0.0,22:58,21.0,0.0,0.0,0.0,11,ger,ger-swe,2026,0.0,RD,1
22,KOSE Timo,F,0.0,0.0,0.0,2.0,0.0,-1.0,18:49,22.0,0.0,0.0,0.0,11,ger,ger-swe,2026,0.0,RW,1
25,SCHWARZ Tobias,F,0.0,0.0,0.0,0.0,0.0,-1.0,13:51,17.0,0.0,0.0,0.0,11,ger,ger-swe,2026,0.0,LW,1
27,SEIDL Simon,F,0.0,0.0,0.0,2.0,0.0,-3.0,14:39,19.0,0.0,0.0,0.0,11,ger,ger-swe,2026,0.0,C,1
4,BLEICHER Max,D,0.0,0.0,0.0,0.0,0.0,0.0,12:54,18.0,0.0,0.0,0.0,11,ger,ger-swe,2026,0.0,RD,2
6,SCHAMS Manuel,D,0.0,0.0,0.0,2.0,0.0,-1.0,15:57,19.0,0.0,0.0,0.0,11,ger,ger-swe,2026,0.0,LD,2
11,LEWANDOWSKI David,F,0.0,0.0,0.0,4.0,1.0,0.0,17:51,15.0,0.0,0.0,0.0,11,ger,ger-swe,2026,0.0,LW,2
17,BOOS Lenny,F,0.0,0.0,0.0,0.0,2.0,0.0,16:14,15.0,0.0,0.0,0.0,11,ger,ger-swe,2026,0.0,C,2
19,WILLHOFT Dustin,F,0.0,0.0,0.0,0.0,1.0,0.0,17:07,15.0,0.0,0.0,0.0,11,ger,ger-swe,2026,0.0,RW,2
8,HENSE Max,D,0.0,0.0,0.0,0.0,1.0,-2.0,19:10,21.0,0.0,0.0,0.0,11,ger,ger-swe,2026,0.0,LD,3
9,PUL Elias,F,1.0,0.0,1.0,0.0,2.0,1.0,11:42,14.0,0.0,0.0,0.0,11,ger,ger-swe,2026,0.0,LW,3
10,SCHAFER Maxim,F,0.0,1.0,1.0,0.0,2.0,1.0,13:55,14.0,0.0,0.0,0.0,11,ger,ger-swe,2026,0.0,RW,3
18,KRETZSCHMAR Moritz,D,0.0,0.0,0.0,0.0,0.0,-2.0,16:53,23.0,0.0,0.0,0.0,11,ger,ger-swe,2026,0.0,RD,3
28,GRIVA Gustavs,F,0.0,0.0,0.0,0.0,1.0,1.0,10:04,13.0,0.0,0.0,0.0,11,ger,ger-swe,2026,0.0,C,3
14,MAUL Nick,F,0.0,0.0,0.0,0.0,0.0,-2.0,15:01,16.0,0.0,0.0,0.0,11,ger,ger-swe,2026,0.0,RW,4
15,SPATH MARISCAL Mateu,F,0.0,0.0,0.0,0.0,1.0,-2.0,13:16,16.0,0.0,0.0,0.0,11,ger,ger-swe,2026,0.0,C,4
16,MAHLER Nick,D,0.0,0.0,0.0,0.0,0.0,-1.0,7:14,9.0,0.0,0.0,0.0,11,ger,ger-swe,2026,0.0,LD,4
21,SAGER Clemens,F,0.0,0.0,0.0,0.0,0.0,-3.0,15:51,17.0,0.0,0.0,0.0,11,ger,ger-swe,2026,0.0,LW,4
12,SCHUTZ Tim,F,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,11,ger,ger-swe,2026,0.0,LW,5
1,VIEILLARD Linus,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11,ger,ger-swe,2026,0.0,GK,1
30,STUHRMANN Lukas,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11,ger,ger-swe,2026,0.0,GK,2
1,VIEILLARD Linus,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,21.0,5.0,16.0,11,ger,ger-swe,2026,0.0,GK,1
30,STUHRMANN Lukas,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,23.0,3.0,20.0,11,ger,ger-swe,2026,0.0,GK,2
4,SAHLIN WALLENIUS Leo,D,0.0,2.0,2.0,0.0,2.0,0.0,18:22,19.0,0.0,0.0,0.0,11,swe,ger-swe,2026,0.0,RD,1
8,CARELL Felix,D,0.0,1.0,1.0,2.0,0.0,1.0,17:56,20.0,0.0,0.0,0.0,11,swe,ger-swe,2026,0.0,LD,1
16,FRONDELL Anton,F,2.0,0.0,2.0,0.0,9.0,0.0,17:05,19.0,0.0,0.0,0.0,11,swe,ger-swe,2026,0.0,LW,1
18,EKLUND Victor,F,0.0,1.0,1.0,0.0,2.0,0.0,19:27,20.0,0.0,0.0,0.0,11,swe,ger-swe,2026,0.0,RW,1
28,NILSON Eric,F,0.0,0.0,0.0,2.0,0.0,0.0,15:08,18.0,0.0,0.0,0.0,11,swe,ger-swe,2026,0.0,C,1
3,OHRQVIST Felix,D,1.0,1.0,2.0,0.0,2.0,2.0,15:00,21.0,0.0,0.0,0.0,11,swe,ger-swe,2026,0.0,RD,2
5,BOUMEDIENNE Sascha,D,0.0,2.0,2.0,0.0,2.0,2.0,20:33,23.0,0.0,0.0,0.0,11,swe,ger-swe,2026,0.0,LD,2
15,STENBERG Ivar,F,0.0,0.0,0.0,0.0,1.0,-1.0,15:52,18.0,0.0,0.0,0.0,11,swe,ger-swe,2026,0.0,LW,2
21,BJORCK Viggo,F,2.0,0.0,2.0,0.0,3.0,0.0,15:11,21.0,0.0,0.0,0.0,11,swe,ger-swe,2026,1.0,C,2
23,DANIELSSON Liam,F,1.0,1.0,2.0,0.0,2.0,0.0,14:54,18.0,0.0,0.0,0.0,11,swe,ger-swe,2026,0.0,RW,2
11,PETTERSSON Lucas,F,0.0,1.0,1.0,0.0,2.0,4.0,12:40,16.0,0.0,0.0,0.0,11,swe,ger-swe,2026,0.0,LW,3
19,HAKANSSON William,D,0.0,1.0,1.0,0.0,2.0,1.0,16:19,19.0,0.0,0.0,0.0,11,swe,ger-swe,2026,0.0,RD,3
20,FREIJ Alfons,D,0.0,2.0,2.0,0.0,1.0,1.0,19:31,22.0,0.0,0.0,0.0,11,swe,ger-swe,2026,0.0,LD,3
25,GENBORG Eddie,F,0.0,2.0,2.0,0.0,2.0,3.0,10:32,14.0,0.0,0.0,0.0,11,swe,ger-swe,2026,0.0,RW,3
26,BERGLUND Jack,F,2.0,0.0,2.0,2.0,3.0,3.0,16:27,18.0,0.0,0.0,0.0,11,swe,ger-swe,2026,0.0,C,3
9,JOHANSSON Victor,D,0.0,0.0,0.0,0.0,2.0,-1.0,6:49,11.0,0.0,0.0,0.0,11,swe,ger-swe,2026,0.0,LD,4
12,GASTRIN Milton,F,0.0,0.0,0.0,0.0,3.0,0.0,13:34,16.0,0.0,0.0,0.0,11,swe,ger-swe,2026,0.0,C,4
14,ERIKSSON Linus,F,0.0,0.0,0.0,0.0,3.0,0.0,14:02,15.0,0.0,0.0,0.0,11,swe,ger-swe,2026,0.0,LW,4
29,JUUSTOVAARA Casper,F,0.0,0.0,0.0,0.0,2.0,0.0,10:24,15.0,0.0,0.0,0.0,11,swe,ger-swe,2026,0.0,RW,4
27,BJORCK Wilson,F,0.0,0.0,0.0,0.0,1.0,0.0,4:35,5.0,0.0,0.0,0.0,11,swe,ger-swe,2026,0.0,LW,5
1,LIV Herman,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11,swe,ger-swe,2026,0.0,GK,1
30,HARENSTAM Love,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11,swe,ger-swe,2026,0.0,GK,2
1,LIV Herman,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.0,1.0,16.0,11,swe,ger-swe,2026,0.0,GK,1
30,HARENSTAM Love,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,11,swe,ger-swe,2026,0.0,GK,2
