j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
7,NIEMINEN Daniel,D,0.0,0.0,0.0,0.0,2.0,0.0,21:24,29.0,0.0,0.0,0.0,12,fin,fin-cze,2026,0.0,RD,1
22,HEMMING Emil,F,1.0,0.0,1.0,0.0,2.0,1.0,16:39,20.0,0.0,0.0,0.0,12,fin,fin-cze,2026,0.0,RW,1
27,MIETTINEN Julius,F,0.0,0.0,0.0,0.0,2.0,0.0,19:35,26.0,0.0,0.0,0.0,12,fin,fin-cze,2026,0.0,C,1
33,KIVIHARJU Aron,D,0.0,0.0,0.0,0.0,2.0,0.0,27:51,34.0,0.0,0.0,0.0,12,fin,fin-cze,2026,0.0,LD,1
37,VANHANEN Matias,F,0.0,0.0,0.0,0.0,2.0,0.0,21:52,26.0,0.0,0.0,0.0,12,fin,fin-cze,2026,0.0,LW,1
12,SAARELAINEN Joona,F,0.0,0.0,0.0,0.0,1.0,0.0,19:12,24.0,0.0,0.0,0.0,12,fin,fin-cze,2026,0.0,LW,2
13,VAISANEN Veeti,D,0.0,0.0,0.0,25.0,0.0,0.0,0:27,1.0,0.0,0.0,0.0,12,fin,fin-cze,2026,0.0,LD,2
15,KOIVU Aatos,F,0.0,0.0,0.0,0.0,1.0,0.0,11:56,14.0,0.0,0.0,0.0,12,fin,fin-cze,2026,0.0,RW,2
25,BOELIUS Lasse,D,0.0,0.0,0.0,2.0,3.0,0.0,18:39,24.0,0.0,0.0,0.0,12,fin,fin-cze,2026,0.0,RD,2
28,RUOHONEN Heikki,F,0.0,1.0,1.0,0.0,0.0,1.0,19:59,23.0,0.0,0.0,0.0,12,fin,fin-cze,2026,0.0,C,2
2,JOKINEN Mitja,D,0.0,0.0,0.0,0.0,0.0,0.0,17:00,22.0,0.0,0.0,0.0,12,fin,fin-cze,2026,0.0,LD,3
10,VESTERINEN Roope,F,0.0,0.0,0.0,0.0,0.0,-1.0,13:36,18.0,0.0,0.0,0.0,12,fin,fin-cze,2026,0.0,LW,3
23,TUUVA Leo,F,0.0,1.0,1.0,0.0,0.0,0.0,14:41,17.0,0.0,0.0,0.0,12,fin,fin-cze,2026,0.0,RW,3
29,KUHTA Jasper,F,0.0,0.0,0.0,0.0,1.0,0.0,17:00,18.0,0.0,0.0,0.0,12,fin,fin-cze,2026,0.0,C,3
34,VALILA Arttu,D,0.0,0.0,0.0,0.0,1.0,0.0,14:05,20.0,0.0,0.0,0.0,12,fin,fin-cze,2026,0.0,RD,3
