j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
10,POBEZAL Tomas,F,0.0,0.0,0.0,0.0,1.0,0.0,16:13,21.0,0.0,0.0,0.0,13,svk,svk-usa,2026,0.0,C,1
11,SVRCEK Michal,F,1.0,0.0,1.0,0.0,2.0,0.0,16:50,22.0,0.0,0.0,0.0,13,svk,svk-usa,2026,0.0,RW,1
14,MISIAK Alex,F,0.0,0.0,0.0,0.0,1.0,0.0,15:11,19.0,0.0,0.0,0.0,13,svk,svk-usa,2026,0.0,LW,1
25,FABUS Andrej,D,0.0,0.0,0.0,0.0,1.0,0.0,17:58,23.0,0.0,0.0,0.0,13,svk,svk-usa,2026,0.0,LD,1
26,RADIVOJEVIC Luka,D,0.0,2.0,2.0,0.0,3.0,-1.0,19:08,25.0,0.0,0.0,0.0,13,svk,svk-usa,2026,0.0,RD,1
6,CAPOS Michal,D,0.0,0.0,0.0,2.0,0.0,-2.0,12:47,19.0,0.0,0.0,0.0,13,svk,svk-usa,2026,0.0,RD,2
7,KALMAN Adam,D,0.0,0.0,0.0,0.0,3.0,-1.0,20:51,26.0,0.0,0.0,0.0,13,svk,svk-usa,2026,0.0,LD,2
12,CHOVAN Jan,F,0.0,0.0,0.0,0.0,3.0,0.0,17:18,25.0,0.0,0.0,0.0,13,svk,svk-usa,2026,0.0,LW,2
13,TOMIK Tobias,F,0.0,1.0,1.0,0.0,2.0,0.0,12:29,20.0,0.0,0.0,0.0,13,svk,svk-usa,2026,0.0,RW,2
28,PITKA Tobias,F,1.0,0.0,1.0,0.0,2.0,1.0,14:26,22.0,0.0,0.0,0.0,13,svk,svk-usa,2026,0.0,C,2
18,MURIN Samuel,F,0.0,0.0,0.0,0.0,2.0,0.0,12:01,16.0,0.0,0.0,0.0,13,svk,svk-usa,2026,0.0,RW,3
21,NEMEC Adam,F,0.0,1.0,1.0,2.0,1.0,0.0,16:48,22.0,0.0,0.0,0.0,13,svk,svk-usa,2026,0.0,LW,3
22,GOLJER Adam,D,0.0,0.0,0.0,2.0,1.0,0.0,9:16,17.0,0.0,0.0,0.0,13,svk,svk-usa,2026,0.0,RD,3
27,BELUSKO Adam,D,1.0,0.0,1.0,0.0,3.0,1.0,19:05,26.0,0.0,0.0,0.0,13,svk,svk-usa,2026,0.0,LD,3
29,CHRENKO Tomas,F,2.0,1.0,3.0,0.0,3.0,0.0,18:47,23.0,0.0,0.0,0.0,13,svk,svk-usa,2026,0.0,C,3
5,KOVALCIK Filip,D,0.0,1.0,1.0,0.0,1.0,1.0,11:12,16.0,0.0,0.0,0.0,13,svk,svk-usa,2026,0.0,LD,4
15,STRAKA Andreas,F,0.0,2.0,2.0,0.0,1.0,0.0,19:17,25.0,0.0,0.0,0.0,13,svk,svk-usa,2026,0.0,LW,4
23,DUBRAVIK Jakub,F,0.0,0.0,0.0,0.0,0.0,-2.0,10:53,22.0,0.0,0.0,0.0,13,svk,svk-usa,2026,0.0,RW,4
24,TOMKA Lukas,F,0.0,0.0,0.0,2.0,1.0,-2.0,12:29,23.0,0.0,0.0,0.0,13,svk,svk-usa,2026,0.0,C,4
8,LISCINSKY Michal,F,0.0,0.0,0.0,0.0,0.0,0.0,1:28,4.0,0.0,0.0,0.0,13,svk,svk-usa,2026,0.0,LW,5
1,PRADEL Michal,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13,svk,svk-usa,2026,0.0,GK,1
30,LENDAK Alan,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13,svk,svk-usa,2026,0.0,GK,2
1,PRADEL Michal,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,41.0,6.0,35.0,13,svk,svk-usa,2026,0.0,GK,1
30,LENDAK Alan,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13,svk,svk-usa,2026,0.0,GK,2
4,STIGA Teddy,F,0.0,1.0,1.0,0.0,5.0,0.0,20:48,24.0,0.0,0.0,0.0,13,usa,svk-usa,2026,0.0,LW,1
5,HENSLER Logan,D,0.0,0.0,0.0,0.0,0.0,0.0,12:39,18.0,0.0,0.0,0.0,13,usa,svk-usa,2026,0.0,RD,1
6,KLEBER Adam,D,0.0,0.0,0.0,0.0,0.0,1.0,21:34,27.0,0.0,0.0,0.0,13,usa,svk-usa,2026,0.0,LD,1
10,HAGENS James,F,2.0,0.0,2.0,0.0,5.0,1.0,18:24,22.0,0.0,0.0,0.0,13,usa,svk-usa,2026,0.0,C,1
74,ZIEMER Brodie,F,0.0,2.0,2.0,0.0,4.0,1.0,19:10,24.0,0.0,0.0,0.0,13,usa,svk-usa,2026,0.0,RW,1
2,OSBURN Luke,D,0.0,0.0,0.0,0.0,4.0,1.0,25:58,31.0,0.0,0.0,0.0,13,usa,svk-usa,2026,0.0,LD,2
18,MOONEY LJ,F,0.0,2.0,2.0,2.0,1.0,-1.0,19:03,27.0,0.0,0.0,0.0,13,usa,svk-usa,2026,0.0,RW,2
25,REID Chase,D,0.0,2.0,2.0,2.0,2.0,0.0,19:58,26.0,0.0,0.0,0.0,13,usa,svk-usa,2026,0.0,RD,2
26,PLANTE Max,F,0.0,0.0,0.0,0.0,2.0,-1.0,10:17,14.0,0.0,0.0,0.0,13,usa,svk-usa,2026,0.0,C,2
34,EISERMAN Cole,F,0.0,0.0,0.0,0.0,3.0,-1.0,9:42,18.0,0.0,0.0,0.0,13,usa,svk-usa,2026,0.0,LW,2
11,McKINNEY Cole,F,0.0,0.0,0.0,0.0,1.0,0.0,10:26,15.0,0.0,0.0,0.0,13,usa,svk-usa,2026,0.0,C,3
14,BARNETT Asher,D,0.0,0.0,0.0,0.0,0.0,1.0,14:00,19.0,0.0,0.0,0.0,13,usa,svk-usa,2026,0.0,LD,3
16,EMERY EJ,D,0.0,0.0,0.0,0.0,0.0,0.0,12:52,18.0,0.0,0.0,0.0,13,usa,svk-usa,2026,0.0,RD,3
17,LEE Ryker,F,1.0,0.0,1.0,0.0,3.0,0.0,15:55,17.0,0.0,0.0,0.0,13,usa,svk-usa,2026,0.0,RW,3
24,HORCOFF Will,F,0.0,0.0,0.0,0.0,2.0,-1.0,12:00,15.0,0.0,0.0,0.0,13,usa,svk-usa,2026,0.0,LW,3
7,RHEAUME-MULLEN Dakoda,D,0.0,0.0,0.0,0.0,0.0,0.0,5:02,8.0,0.0,0.0,0.0,13,usa,svk-usa,2026,0.0,LD,4
8,SPELLACY AJ,F,1.0,1.0,2.0,2.0,3.0,1.0,12:58,19.0,0.0,0.0,0.0,13,usa,svk-usa,2026,0.0,C,4
12,ZELLERS Will,F,1.0,1.0,2.0,0.0,3.0,1.0,13:13,16.0,0.0,0.0,0.0,13,usa,svk-usa,2026,1.0,LW,4
22,McMORROW Brendan,F,1.0,1.0,2.0,0.0,2.0,1.0,13:22,18.0,0.0,0.0,0.0,13,usa,svk-usa,2026,0.0,RW,4
38,BEDNARIK Kamil,F,0.0,1.0,1.0,2.0,1.0,0.0,6:24,9.0,0.0,0.0,0.0,13,usa,svk-usa,2026,0.0,LW,5
30,HEIL Caleb,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13,usa,svk-usa,2026,0.0,GK,1
31,KEMPF Nick,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13,usa,svk-usa,2026,0.0,GK,2
30,HEIL Caleb,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,31.0,5.0,26.0,13,usa,svk-usa,2026,0.0,GK,1
31,KEMPF Nick,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13,usa,svk-usa,2026,0.0,GK,2
