j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
7,MISA Michael,F,1.0,2.0,3.0,0.0,5.0,2.0,15:25,17.0,0.0,0.0,0.0,14,can,can-den,2026,0.0,C,1
10,REID Cameron,D,0.0,0.0,0.0,0.0,3.0,2.0,18:22,25.0,0.0,0.0,0.0,14,can,can-den,2026,0.0,LD,1
11,IGINLA Tij,F,0.0,2.0,2.0,0.0,1.0,3.0,15:38,16.0,0.0,0.0,0.0,14,can,can-den,2026,0.0,LW,1
19,PAREKH Zayne,D,1.0,1.0,2.0,0.0,1.0,2.0,15:33,18.0,0.0,0.0,0.0,14,can,can-den,2026,0.0,RD,1
22,MARTONE Porter,F,2.0,1.0,3.0,0.0,4.0,2.0,16:27,18.0,0.0,0.0,0.0,14,can,can-den,2026,0.0,RW,1
4,BRUNICKE Harrison,D,0.0,0.0,0.0,0.0,2.0,0.0,16:19,16.0,0.0,0.0,0.0,14,can,can-den,2026,0.0,RD,2
9,McKENNA Gavin,F,3.0,0.0,3.0,0.0,5.0,2.0,16:37,21.0,0.0,0.0,0.0,14,can,can-den,2026,0.0,LW,2
13,MacKENZIE Ethan,D,0.0,1.0,1.0,0.0,2.0,2.0,19:34,21.0,0.0,0.0,0.0,14,can,can-den,2026,0.0,LD,2
28,MARTIN Brady,F,0.0,3.0,3.0,2.0,1.0,2.0,15:52,20.0,0.0,0.0,0.0,14,can,can-den,2026,0.0,RW,2
29,HAGE Michael,F,0.0,2.0,2.0,0.0,2.0,2.0,16:17,20.0,0.0,0.0,0.0,14,can,can-den,2026,0.0,C,2
2,AITCHESON Kashawn,D,1.0,1.0,2.0,0.0,3.0,2.0,20:05,21.0,0.0,0.0,0.0,14,can,can-den,2026,0.0,LD,3
14,DANFORD Ben,D,0.0,0.0,0.0,0.0,2.0,2.0,11:46,17.0,0.0,0.0,0.0,14,can,can-den,2026,0.0,RD,3
23,O'REILLY Sam,F,0.0,1.0,1.0,0.0,2.0,1.0,15:33,18.0,0.0,0.0,0.0,14,can,can-den,2026,0.0,RW,3
25,DESNOYERS Caleb,F,0.0,2.0,2.0,0.0,1.0,1.0,12:54,16.0,0.0,0.0,0.0,14,can,can-den,2026,0.0,LW,3
26,BEAUDOIN Cole,F,0.0,1.0,1.0,0.0,4.0,1.0,15:19,18.0,0.0,0.0,0.0,14,can,can-den,2026,0.0,C,3
8,COOTES Braeden,F,1.0,0.0,1.0,0.0,3.0,1.0,9:17,13.0,0.0,0.0,0.0,14,can,can-den,2026,1.0,RW,4
17,LUCHANKO Jett,F,0.0,0.0,0.0,0.0,2.0,0.0,15:24,17.0,0.0,0.0,0.0,14,can,can-den,2026,0.0,LW,4
20,VERHOEFF Keaton,D,0.0,1.0,1.0,0.0,1.0,2.0,14:58,16.0,0.0,0.0,0.0,14,can,can-den,2026,0.0,LD,4
21,RESCHNY Cole,F,0.0,0.0,0.0,0.0,1.0,1.0,10:59,14.0,0.0,0.0,0.0,14,can,can-den,2026,0.0,C,4
