j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
19,NEUENSCHWANDER Jonah,F,0.0,0.0,0.0,0.0,1.0,1.0,16:00,18.0,0.0,0.0,0.0,15,sui,sui-ger,2026,0.0,C,1
28,USTINKOV Daniil,D,0.0,0.0,0.0,2.0,3.0,1.0,19:24,25.0,0.0,0.0,0.0,15,sui,sui-ger,2026,0.0,LD,1
39,REBER Jamiro,F,1.0,0.0,1.0,0.0,4.0,0.0,20:17,19.0,0.0,0.0,0.0,15,sui,sui-ger,2026,0.0,LW,1
41,MUGGLI Leon,D,0.0,1.0,1.0,0.0,5.0,0.0,20:03,28.0,0.0,0.0,0.0,15,sui,sui-ger,2026,0.0,RD,1
77,WEY Loris,F,0.0,0.0,0.0,0.0,3.0,1.0,21:13,23.0,0.0,0.0,0.0,15,sui,sui-ger,2026,0.0,RW,1
13,SANSONNENS Basile,D,0.0,1.0,1.0,2.0,1.0,2.0,14:39,25.0,0.0,0.0,0.0,15,sui,sui-ger,2026,0.0,RD,2
15,STEINER Lars,F,0.0,1.0,1.0,0.0,5.0,0.0,16:16,15.0,0.0,0.0,0.0,15,sui,sui-ger,2026,0.0,RW,2
26,JOHNSON Ludvig,D,1.0,0.0,1.0,0.0,3.0,1.0,19:07,21.0,0.0,0.0,0.0,15,sui,sui-ger,2026,0.0,LD,2
78,GROSSNIKLAUS Joel,F,0.0,0.0,0.0,0.0,1.0,0.0,11:11,15.0,0.0,0.0,0.0,15,sui,sui-ger,2026,0.0,C,2
88,ANTENEN Robin,F,0.0,0.0,0.0,0.0,4.0,0.0,14:08,17.0,0.0,0.0,0.0,15,sui,sui-ger,2026,0.0,LW,2
8,MEIER Gian,D,0.0,1.0,1.0,0.0,2.0,1.0,17:22,22.0,0.0,0.0,0.0,15,sui,sui-ger,2026,0.0,RD,3
14,BLESSING Niklas,D,0.0,1.0,1.0,0.0,0.0,1.0,17:47,21.0,0.0,0.0,0.0,15,sui,sui-ger,2026,0.0,LD,3
62,AESCHLIMANN Mike,F,0.0,0.0,0.0,0.0,2.0,2.0,11:22,16.0,0.0,0.0,0.0,15,sui,sui-ger,2026,0.0,LW,3
89,KOERBLER Kimi,F,2.0,0.0,2.0,2.0,5.0,3.0,10:20,18.0,0.0,0.0,0.0,15,sui,sui-ger,2026,1.0,RW,3
96,MOTTARD Paul,F,0.0,1.0,1.0,0.0,2.0,2.0,12:54,22.0,0.0,0.0,0.0,15,sui,sui-ger,2026,0.0,C,3
9,CATTIN Nolan,F,0.0,0.0,0.0,0.0,1.0,0.0,11:22,18.0,0.0,0.0,0.0,15,sui,sui-ger,2026,0.0,RW,4
11,BORRADORI Nathan,F,0.0,0.0,0.0,0.0,2.0,0.0,14:14,23.0,0.0,0.0,0.0,15,sui,sui-ger,2026,0.0,LW,4
71,WAIDACHER Beni,F,0.0,0.0,0.0,0.0,3.0,0.0,16:51,24.0,0.0,0.0,0.0,15,sui,sui-ger,2026,0.0,C,4
94,LEHMANN Nik,D,0.0,0.0,0.0,0.0,0.0,0.0,5:20,8.0,0.0,0.0,0.0,15,sui,sui-ger,2026,0.0,LD,4
7,HENRY Cyrill,F,0.0,0.0,0.0,0.0,1.0,0.0,2:49,4.0,0.0,0.0,0.0,15,sui,sui-ger,2026,0.0,LW,5
35,NEUENSCHWANDER Elijah,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,sui,sui-ger,2026,0.0,GK,1
65,KIRSCH Christian,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,sui,sui-ger,2026,0.0,GK,2
35,NEUENSCHWANDER Elijah,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,sui,sui-ger,2026,0.0,GK,1
65,KIRSCH Christian,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,20.0,0.0,20.0,15,sui,sui-ger,2026,0.0,GK,2
8,HENSE Max,D,0.0,0.0,0.0,0.0,0.0,-2.0,19:10,25.0,0.0,0.0,0.0,15,ger,sui-ger,2026,0.0,LD,1
11,LEWANDOWSKI David,F,0.0,0.0,0.0,0.0,0.0,-1.0,18:23,19.0,0.0,0.0,0.0,15,ger,sui-ger,2026,0.0,RW,1
23,PAPE Matthias,D,0.0,0.0,0.0,0.0,3.0,-1.0,19:01,24.0,0.0,0.0,0.0,15,ger,sui-ger,2026,0.0,RD,1
25,SCHWARZ Tobias,F,0.0,0.0,0.0,0.0,2.0,-1.0,15:41,20.0,0.0,0.0,0.0,15,ger,sui-ger,2026,0.0,LW,1
