j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
10,CJUNSKIS Harijs,D,0.0,0.0,0.0,0.0,4.0,-1.0,15:40,23.0,0.0,0.0,0.0,16,lat,lat-den,2026,0.0,LD,1
14,MURNIEKS Olivers,F,0.0,2.0,2.0,0.0,3.0,1.0,21:45,28.0,0.0,0.0,0.0,16,lat,lat-den,2026,0.0,C,1
18,NAUDINS Roberts,F,0.0,1.0,1.0,0.0,0.0,1.0,13:09,18.0,0.0,0.0,0.0,16,lat,lat-den,2026,0.0,LW,1
19,OSMANIS Bruno,F,1.0,1.0,2.0,0.0,6.0,1.0,21:53,26.0,0.0,0.0,0.0,16,lat,lat-den,2026,0.0,RW,1
23,SMITS Alberts,D,1.0,2.0,3.0,0.0,3.0,-1.0,26:33,30.0,0.0,0.0,0.0,16,lat,lat-den,2026,0.0,RD,1
7,BERZKALNS Rudolfs,F,0.0,0.0,0.0,0.0,1.0,0.0,10:12,15.0,0.0,0.0,0.0,16,lat,lat-den,2026,0.0,C,2
11,DILEVKA Dmitrijs,F,0.0,0.0,0.0,2.0,4.0,-2.0,14:22,21.0,0.0,0.0,0.0,16,lat,lat-den,2026,0.0,LW,2
15,ULJANSKIS Darels,D,0.0,0.0,0.0,0.0,0.0,-1.0,12:40,15.0,0.0,0.0,0.0,16,lat,lat-den,2026,0.0,RD,2
24,SERKINS Daniels,F,0.0,0.0,0.0,0.0,3.0,-3.0,14:52,23.0,0.0,0.0,0.0,16,lat,lat-den,2026,0.0,RW,2
26,BRIEDIS Oskars,D,0.0,0.0,0.0,0.0,2.0,0.0,21:23,27.0,0.0,0.0,0.0,16,lat,lat-den,2026,0.0,LD,2
2,SARTS Krisjanis,D,1.0,0.0,1.0,2.0,2.0,1.0,11:32,21.0,0.0,0.0,0.0,16,lat,lat-den,2026,0.0,LD,3
6,VITOLS Martins,D,0.0,1.0,1.0,2.0,1.0,1.0,12:21,19.0,0.0,0.0,0.0,16,lat,lat-den,2026,0.0,RD,3
8,KLAUCANS Martins,F,0.0,0.0,0.0,0.0,1.0,0.0,14:45,20.0,0.0,0.0,0.0,16,lat,lat-den,2026,0.0,C,3
27,SIERADZKIS Markuss,F,1.0,1.0,2.0,2.0,6.0,-1.0,15:24,20.0,0.0,0.0,0.0,16,lat,lat-den,2026,0.0,RW,3
28,FLUGINS Karlis,F,0.0,0.0,0.0,0.0,1.0,0.0,11:39,18.0,0.0,0.0,0.0,16,lat,lat-den,2026,0.0,LW,3
17,ANSONS Kristers,F,1.0,3.0,4.0,0.0,2.0,1.0,21:35,26.0,0.0,0.0,0.0,16,lat,lat-den,2026,0.0,LW,4
20,UTNANS Kristians,F,0.0,0.0,0.0,0.0,0.0,0.0,5:02,8.0,0.0,0.0,0.0,16,lat,lat-den,2026,0.0,RW,4
21,RETENAIS Krists,D,0.0,0.0,0.0,0.0,1.0,1.0,14:16,21.0,0.0,0.0,0.0,16,lat,lat-den,2026,0.0,LD,4
22,MACIJEVSKIS Antons,F,1.0,0.0,1.0,0.0,1.0,0.0,12:02,17.0,0.0,0.0,0.0,16,lat,lat-den,2026,1.0,C,4
16,POLIS Roberts,F,0.0,0.0,0.0,0.0,1.0,2.0,4:53,10.0,0.0,0.0,0.0,16,lat,lat-den,2026,0.0,LW,5
1,VECVANAGS Mikus,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16,lat,lat-den,2026,0.0,GK,2
30,MAURINS Nils,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16,lat,lat-den,2026,0.0,GK,1
1,VECVANAGS Mikus,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16,lat,lat-den,2026,0.0,GK,2
30,MAURINS Nils,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.0,3.0,9.0,16,lat,lat-den,2026,0.0,GK,1
5,JAKOBSEN Markus,D,0.0,1.0,1.0,0.0,1.0,1.0,25:29,31.0,0.0,0.0,0.0,16,den,lat-den,2026,0.0,RD,1
7,RUNDH Frederik,D,0.0,1.0,1.0,0.0,0.0,2.0,22:18,30.0,0.0,0.0,0.0,16,den,lat-den,2026,0.0,LD,1
22,LINDE Anton,F,1.0,0.0,1.0,0.0,1.0,0.0,25:32,25.0,0.0,0.0,0.0,16,den,lat-den,2026,0.0,C,1
24,KLYVO Mads,F,0.0,0.0,0.0,0.0,1.0,0.0,25:03,27.0,0.0,0.0,0.0,16,den,lat-den,2026,0.0,LW,1
28,SCHIOLDAN Martinus Uggerhoj,F,0.0,0.0,0.0,0.0,0.0,0.0,14:37,21.0,0.0,0.0,0.0,16,den,lat-den,2026,0.0,RW,1
3,KRAMER Jeppe,D,0.0,0.0,0.0,2.0,1.0,-2.0,13:52,20.0,0.0,0.0,0.0,16,den,lat-den,2026,0.0,RD,2
8,OLESEN Jesper,D,0.0,0.0,0.0,0.0,0.0,-2.0,17:02,23.0,0.0,0.0,0.0,16,den,lat-den,2026,0.0,LD,2
9,PETERSEN Tristan,F,0.0,1.0,1.0,0.0,0.0,-1.0,12:50,17.0,0.0,0.0,0.0,16,den,lat-den,2026,0.0,LW,2
10,STROMSTAD Sebastian,F,0.0,0.0,0.0,2.0,0.0,-1.0,12:08,17.0,0.0,0.0,0.0,16,den,lat-den,2026,0.0,RW,2
23,BAERENTSEN Lasse,F,0.0,0.0,0.0,0.0,1.0,-2.0,13:51,19.0,0.0,0.0,0.0,16,den,lat-den,2026,0.0,C,2
11,AMONDSEN Frederick,D,0.0,0.0,0.0,4.0,0.0,0.0,17:25,21.0,0.0,0.0,0.0,16,den,lat-den,2026,0.0,RD,3
13,LARSEN Oliver,F,1.0,1.0,2.0,2.0,4.0,2.0,22:30,21.0,0.0,0.0,0.0,16,den,lat-den,2026,0.0,LW,3
14,GREEN Oliver,F,0.0,0.0,0.0,0.0,0.0,2.0,22:46,25.0,0.0,0.0,0.0,16,den,lat-den,2026,0.0,C,3
18,BERTRAM Jeppe,D,0.0,0.0,0.0,0.0,0.0,0.0,15:36,22.0,0.0,0.0,0.0,16,den,lat-den,2026,0.0,LD,3
19,BUNDGAARD William,F,1.0,2.0,3.0,2.0,1.0,2.0,24:15,25.0,0.0,0.0,0.0,16,den,lat-den,2026,0.0,RW,3
6,JAKOBSEN Emil,D,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,16,den,lat-den,2026,0.0,LD,4
12,GROSSMANN Albert,F,0.0,0.0,0.0,2.0,0.0,0.0,3:29,6.0,0.0,0.0,0.0,16,den,lat-den,2026,0.0,RW,4
17,CILAN Lucas,F,0.0,0.0,0.0,0.0,2.0,-1.0,5:32,9.0,0.0,0.0,0.0,16,den,lat-den,2026,0.0,C,4
20,OLSEN Elias Borup,F,0.0,0.0,0.0,0.0,0.0,0.0,4:00,6.0,0.0,0.0,0.0,16,den,lat-den,2026,0.0,LW,4
16,BJERGSTAD Andrew Christian,F,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,16,den,lat-den,2026,0.0,LW,5
1,WILDE Anton,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16,den,lat-den,2026,0.0,GK,1
35,TIEDJEN Patrick,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16,den,lat-den,2026,0.0,GK,2
1,WILDE Anton,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,41.0,5.0,36.0,16,den,lat-den,2026,0.0,GK,1
35,TIEDJEN Patrick,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16,den,lat-den,2026,0.0,GK,2
