j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
19,NEUENSCHWANDER Jonah,F,0.0,0.0,0.0,0.0,0.0,0.0,14:46,18.0,0.0,0.0,0.0,17,sui,sui-svk,2026,0.0,C,1
28,USTINKOV Daniil,D,0.0,1.0,1.0,0.0,0.0,0.0,16:21,20.0,0.0,0.0,0.0,17,sui,sui-svk,2026,0.0,LD,1
39,REBER Jamiro,F,0.0,1.0,1.0,2.0,2.0,-1.0,18:35,22.0,0.0,0.0,0.0,17,sui,sui-svk,2026,0.0,LW,1
41,MUGGLI Leon,D,0.0,1.0,1.0,0.0,0.0,-1.0,19:49,25.0,0.0,0.0,0.0,17,sui,sui-svk,2026,0.0,RD,1
77,WEY Loris,F,1.0,0.0,1.0,0.0,1.0,0.0,18:59,23.0,0.0,0.0,0.0,17,sui,sui-svk,2026,0.0,RW,1
13,SANSONNENS Basile,D,0.0,0.0,0.0,0.0,0.0,-1.0,19:57,22.0,0.0,0.0,0.0,17,sui,sui-svk,2026,0.0,RD,2
15,STEINER Lars,F,0.0,0.0,0.0,0.0,4.0,0.0,18:52,19.0,0.0,0.0,0.0,17,sui,sui-svk,2026,0.0,RW,2
26,JOHNSON Ludvig,D,0.0,1.0,1.0,0.0,0.0,0.0,20:00,20.0,0.0,0.0,0.0,17,sui,sui-svk,2026,0.0,LD,2
78,GROSSNIKLAUS Joel,F,0.0,0.0,0.0,0.0,1.0,0.0,15:20,19.0,0.0,0.0,0.0,17,sui,sui-svk,2026,0.0,C,2
88,ANTENEN Robin,F,0.0,0.0,0.0,0.0,1.0,0.0,11:13,15.0,0.0,0.0,0.0,17,sui,sui-svk,2026,0.0,LW,2
8,MEIER Gian,D,0.0,1.0,1.0,0.0,1.0,0.0,18:09,23.0,0.0,0.0,0.0,17,sui,sui-svk,2026,0.0,RD,3
14,BLESSING Niklas,D,0.0,0.0,0.0,2.0,0.0,0.0,16:57,24.0,0.0,0.0,0.0,17,sui,sui-svk,2026,0.0,LD,3
62,AESCHLIMANN Mike,F,1.0,0.0,1.0,0.0,2.0,-1.0,9:12,15.0,0.0,0.0,0.0,17,sui,sui-svk,2026,0.0,LW,3
89,KOERBLER Kimi,F,0.0,1.0,1.0,0.0,1.0,1.0,14:20,19.0,0.0,0.0,0.0,17,sui,sui-svk,2026,0.0,RW,3
