j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
5,JIRICEK Adam,D,1.0,0.0,1.0,0.0,3.0,0.0,23:15,24.0,0.0,0.0,0.0,18,cze,cze-lat,2026,0.0,RD,1
7,FIBIGR Jakub,D,0.0,0.0,0.0,0.0,0.0,0.0,25:19,23.0,0.0,0.0,0.0,18,cze,cze-lat,2026,0.0,LD,1
14,NESTRASIL Vaclav,F,1.0,1.0,2.0,2.0,7.0,1.0,16:34,20.0,0.0,0.0,0.0,18,cze,cze-lat,2026,0.0,RW,1
15,CIHAR Vojtech,F,0.0,1.0,1.0,0.0,0.0,1.0,21:00,25.0,0.0,0.0,0.0,18,cze,cze-lat,2026,0.0,LW,1
17,SIKORA Petr,F,0.0,0.0,0.0,0.0,0.0,1.0,21:11,24.0,0.0,0.0,0.0,18,cze,cze-lat,2026,0.0,C,1
6,MRTKA Radim,D,0.0,0.0,0.0,0.0,2.0,2.0,17:47,22.0,0.0,0.0,0.0,18,cze,cze-lat,2026,0.0,RD,2
12,CURRAN Maxmilian,F,0.0,2.0,2.0,2.0,1.0,2.0,17:38,22.0,0.0,0.0,0.0,18,cze,cze-lat,2026,0.0,C,2
18,POLETIN Tomas,F,1.0,0.0,1.0,2.0,2.0,2.0,16:38,20.0,0.0,0.0,0.0,18,cze,cze-lat,2026,0.0,LW,2
20,BENAK Adam,F,0.0,1.0,1.0,2.0,1.0,0.0,13:48,15.0,0.0,0.0,0.0,18,cze,cze-lat,2026,0.0,RW,2
23,GALVAS Tomas,D,0.0,1.0,1.0,0.0,3.0,2.0,19:45,21.0,0.0,0.0,0.0,18,cze,cze-lat,2026,0.0,LD,2
3,PSENICKA Max,D,1.0,0.0,1.0,0.0,3.0,1.0,16:36,22.0,0.0,0.0,0.0,18,cze,cze-lat,2026,1.0,RD,3
8,MAN Matyas,D,0.0,1.0,1.0,0.0,0.0,1.0,14:47,21.0,0.0,0.0,0.0,18,cze,cze-lat,2026,0.0,LD,3
19,CHLUDIL Danny,F,0.0,0.0,0.0,0.0,1.0,1.0,9:30,12.0,0.0,0.0,0.0,18,cze,cze-lat,2026,0.0,RW,3
24,NOVOTNY Adam,F,0.0,0.0,0.0,2.0,2.0,1.0,16:16,19.0,0.0,0.0,0.0,18,cze,cze-lat,2026,0.0,LW,3
25,HOCH Stepan,F,0.0,0.0,0.0,2.0,1.0,0.0,11:08,16.0,0.0,0.0,0.0,18,cze,cze-lat,2026,0.0,C,3
9,DRAVECKY Vladimir,D,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,18,cze,cze-lat,2026,0.0,LD,4
11,KUBIESA Matej,F,0.0,0.0,0.0,0.0,1.0,0.0,12:54,15.0,0.0,0.0,0.0,18,cze,cze-lat,2026,0.0,LW,4
21,KLIMA Jiri,F,0.0,0.0,0.0,0.0,2.0,0.0,9:34,12.0,0.0,0.0,0.0,18,cze,cze-lat,2026,0.0,RW,4
29,DRANCAK Samuel,F,0.0,0.0,0.0,0.0,0.0,0.0,10:15,12.0,0.0,0.0,0.0,18,cze,cze-lat,2026,0.0,C,4
16,ZEMLICKA Richard,F,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,18,cze,cze-lat,2026,0.0,LW,5
1,MARIK Matyas,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18,cze,cze-lat,2026,0.0,GK,1
30,ORSULAK Michal,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18,cze,cze-lat,2026,0.0,GK,2
1,MARIK Matyas,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.0,2.0,8.0,18,cze,cze-lat,2026,0.0,GK,1
30,ORSULAK Michal,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18,cze,cze-lat,2026,0.0,GK,2
10,CJUNSKIS Harijs,D,0.0,0.0,0.0,4.0,0.0,-1.0,8:42,15.0,0.0,0.0,0.0,18,lat,cze-lat,2026,0.0,LD,1
14,MURNIEKS Olivers,F,0.0,1.0,1.0,0.0,1.0,0.0,19:54,29.0,0.0,0.0,0.0,18,lat,cze-lat,2026,0.0,C,1
17,ANSONS Kristers,F,1.0,0.0,1.0,0.0,1.0,0.0,17:47,26.0,0.0,0.0,0.0,18,lat,cze-lat,2026,0.0,LW,1
19,OSMANIS Bruno,F,0.0,2.0,2.0,0.0,1.0,0.0,18:16,26.0,0.0,0.0,0.0,18,lat,cze-lat,2026,0.0,RW,1
23,SMITS Alberts,D,0.0,1.0,1.0,0.0,0.0,-2.0,23:27,30.0,0.0,0.0,0.0,18,lat,cze-lat,2026,0.0,RD,1
16,POLIS Roberts,F,0.0,0.0,0.0,0.0,0.0,0.0,11:01,15.0,0.0,0.0,0.0,18,lat,cze-lat,2026,0.0,C,2
18,NAUDINS Roberts,F,0.0,0.0,0.0,0.0,2.0,0.0,19:14,25.0,0.0,0.0,0.0,18,lat,cze-lat,2026,0.0,LW,2
21,RETENAIS Krists,D,0.0,0.0,0.0,0.0,1.0,-1.0,20:49,23.0,0.0,0.0,0.0,18,lat,cze-lat,2026,0.0,RD,2
24,SERKINS Daniels,F,0.0,0.0,0.0,0.0,0.0,-1.0,16:41,24.0,0.0,0.0,0.0,18,lat,cze-lat,2026,0.0,RW,2
26,BRIEDIS Oskars,D,0.0,0.0,0.0,0.0,1.0,0.0,17:03,25.0,0.0,0.0,0.0,18,lat,cze-lat,2026,0.0,LD,2
2,SARTS Krisjanis,D,0.0,0.0,0.0,0.0,0.0,0.0,14:26,23.0,0.0,0.0,0.0,18,lat,cze-lat,2026,0.0,LD,3
6,VITOLS Martins,D,0.0,0.0,0.0,2.0,0.0,0.0,17:15,24.0,0.0,0.0,0.0,18,lat,cze-lat,2026,0.0,RD,3
7,BERZKALNS Rudolfs,F,0.0,0.0,0.0,2.0,0.0,-1.0,11:51,21.0,0.0,0.0,0.0,18,lat,cze-lat,2026,0.0,C,3
8,KLAUCANS Martins,F,0.0,0.0,0.0,0.0,0.0,-1.0,10:28,13.0,0.0,0.0,0.0,18,lat,cze-lat,2026,0.0,RW,3
27,SIERADZKIS Markuss,F,1.0,0.0,1.0,0.0,3.0,0.0,18:01,24.0,0.0,0.0,0.0,18,lat,cze-lat,2026,0.0,LW,3
4,NAGLIS Rolands,D,0.0,0.0,0.0,0.0,0.0,-1.0,10:30,17.0,0.0,0.0,0.0,18,lat,cze-lat,2026,0.0,LD,4
12,PUMPINS Maksims,F,0.0,0.0,0.0,0.0,0.0,-2.0,7:58,13.0,0.0,0.0,0.0,18,lat,cze-lat,2026,0.0,RW,4
22,MACIJEVSKIS Antons,F,0.0,0.0,0.0,0.0,0.0,-2.0,10:24,16.0,0.0,0.0,0.0,18,lat,cze-lat,2026,0.0,C,4
28,FLUGINS Karlis,F,0.0,0.0,0.0,0.0,0.0,-3.0,10:38,14.0,0.0,0.0,0.0,18,lat,cze-lat,2026,0.0,LW,4
11,DILEVKA Dmitrijs,F,0.0,0.0,0.0,0.0,0.0,-1.0,13:54,19.0,0.0,0.0,0.0,18,lat,cze-lat,2026,0.0,LW,5
1,VECVANAGS Mikus,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18,lat,cze-lat,2026,0.0,GK,2
30,MAURINS Nils,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18,lat,cze-lat,2026,0.0,GK,1
1,VECVANAGS Mikus,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18,lat,cze-lat,2026,0.0,GK,2
30,MAURINS Nils,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,3.0,25.0,18,lat,cze-lat,2026,0.0,GK,1
