j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
5,HENSLER Logan,D,0.0,0.0,0.0,2.0,1.0,-1.0,11:20,16.0,0.0,0.0,0.0,19,usa,usa-swe,2026,0.0,RD,1
6,KLEBER Adam,D,0.0,0.0,0.0,0.0,1.0,0.0,19:21,22.0,0.0,0.0,0.0,19,usa,usa-swe,2026,0.0,LD,1
10,HAGENS James,F,0.0,1.0,1.0,0.0,4.0,0.0,22:32,24.0,0.0,0.0,0.0,19,usa,usa-swe,2026,0.0,C,1
24,HORCOFF Will,F,0.0,0.0,0.0,0.0,1.0,-1.0,13:29,15.0,0.0,0.0,0.0,19,usa,usa-swe,2026,0.0,LW,1
74,ZIEMER Brodie,F,0.0,2.0,2.0,0.0,2.0,0.0,21:14,24.0,0.0,0.0,0.0,19,usa,usa-swe,2026,0.0,RW,1
2,OSBURN Luke,D,0.0,0.0,0.0,2.0,1.0,-1.0,22:34,22.0,0.0,0.0,0.0,19,usa,usa-swe,2026,0.0,LD,2
4,STIGA Teddy,F,1.0,0.0,1.0,0.0,4.0,0.0,16:28,23.0,0.0,0.0,0.0,19,usa,usa-swe,2026,0.0,C,2
17,LEE Ryker,F,0.0,1.0,1.0,2.0,3.0,0.0,19:49,23.0,0.0,0.0,0.0,19,usa,usa-swe,2026,0.0,RW,2
18,MOONEY LJ,F,0.0,1.0,1.0,0.0,2.0,0.0,19:26,25.0,0.0,0.0,0.0,19,usa,usa-swe,2026,0.0,LW,2
25,REID Chase,D,1.0,0.0,1.0,0.0,2.0,-1.0,19:14,23.0,0.0,0.0,0.0,19,usa,usa-swe,2026,0.0,RD,2
11,McKINNEY Cole,F,0.0,0.0,0.0,0.0,0.0,-2.0,6:57,11.0,0.0,0.0,0.0,19,usa,usa-swe,2026,0.0,C,3
14,BARNETT Asher,D,0.0,0.0,0.0,0.0,0.0,0.0,16:18,20.0,0.0,0.0,0.0,19,usa,usa-swe,2026,0.0,LD,3
16,EMERY EJ,D,0.0,0.0,0.0,0.0,0.0,0.0,12:59,16.0,0.0,0.0,0.0,19,usa,usa-swe,2026,0.0,RD,3
23,VANSAGHI Shane,F,0.0,0.0,0.0,0.0,0.0,-2.0,6:55,11.0,0.0,0.0,0.0,19,usa,usa-swe,2026,0.0,RW,3
34,EISERMAN Cole,F,0.0,1.0,1.0,0.0,3.0,-3.0,9:47,12.0,0.0,0.0,0.0,19,usa,usa-swe,2026,0.0,LW,3
7,RHEAUME-MULLEN Dakoda,D,0.0,0.0,0.0,0.0,0.0,0.0,10:13,11.0,0.0,0.0,0.0,19,usa,usa-swe,2026,0.0,LD,4
8,SPELLACY AJ,F,0.0,0.0,0.0,2.0,2.0,0.0,13:22,18.0,0.0,0.0,0.0,19,usa,usa-swe,2026,0.0,C,4
12,ZELLERS Will,F,1.0,0.0,1.0,0.0,5.0,1.0,18:32,21.0,0.0,0.0,0.0,19,usa,usa-swe,2026,0.0,LW,4
22,McMORROW Brendan,F,0.0,0.0,0.0,0.0,0.0,0.0,12:13,17.0,0.0,0.0,0.0,19,usa,usa-swe,2026,0.0,RW,4
38,BEDNARIK Kamil,F,0.0,0.0,0.0,0.0,0.0,0.0,3:51,5.0,0.0,0.0,0.0,19,usa,usa-swe,2026,0.0,LW,5
31,KEMPF Nick,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19,usa,usa-swe,2026,0.0,GK,2
35,KNOWLING Brady,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19,usa,usa-swe,2026,0.0,GK,1
31,KEMPF Nick,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,15.0,1.0,14.0,19,usa,usa-swe,2026,0.0,GK,2
35,KNOWLING Brady,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.0,5.0,23.0,19,usa,usa-swe,2026,0.0,GK,1
4,SAHLIN WALLENIUS Leo,D,0.0,0.0,0.0,2.0,2.0,1.0,23:12,33.0,0.0,0.0,0.0,19,swe,usa-swe,2026,0.0,RD,1
8,CARELL Felix,D,0.0,0.0,0.0,0.0,1.0,0.0,19:31,30.0,0.0,0.0,0.0,19,swe,usa-swe,2026,0.0,LD,1
14,ERIKSSON Linus,F,0.0,0.0,0.0,2.0,3.0,-1.0,19:04,28.0,0.0,0.0,0.0,19,swe,usa-swe,2026,0.0,C,1
16,FRONDELL Anton,F,0.0,0.0,0.0,0.0,3.0,-1.0,17:44,23.0,0.0,0.0,0.0,19,swe,usa-swe,2026,0.0,LW,1
18,EKLUND Victor,F,0.0,1.0,1.0,0.0,2.0,-1.0,21:00,29.0,0.0,0.0,0.0,19,swe,usa-swe,2026,0.0,RW,1
3,OHRQVIST Felix,D,0.0,0.0,0.0,0.0,0.0,0.0,19:11,30.0,0.0,0.0,0.0,19,swe,usa-swe,2026,0.0,RD,2
5,BOUMEDIENNE Sascha,D,0.0,0.0,0.0,2.0,4.0,2.0,22:26,30.0,0.0,0.0,0.0,19,swe,usa-swe,2026,0.0,LD,2
15,STENBERG Ivar,F,1.0,0.0,1.0,0.0,8.0,0.0,17:01,22.0,0.0,0.0,0.0,19,swe,usa-swe,2026,0.0,LW,2
21,BJORCK Viggo,F,0.0,2.0,2.0,0.0,1.0,0.0,19:14,29.0,0.0,0.0,0.0,19,swe,usa-swe,2026,0.0,C,2
25,GENBORG Eddie,F,2.0,0.0,2.0,0.0,3.0,0.0,12:52,19.0,0.0,0.0,0.0,19,swe,usa-swe,2026,0.0,RW,2
11,PETTERSSON Lucas,F,2.0,0.0,2.0,2.0,4.0,2.0,11:07,18.0,0.0,0.0,0.0,19,swe,usa-swe,2026,1.0,LW,3
19,HAKANSSON William,D,0.0,1.0,1.0,0.0,2.0,1.0,15:15,23.0,0.0,0.0,0.0,19,swe,usa-swe,2026,0.0,RD,3
20,FREIJ Alfons,D,0.0,1.0,1.0,0.0,0.0,0.0,15:46,21.0,0.0,0.0,0.0,19,swe,usa-swe,2026,0.0,LD,3
22,KRANTZ Loke,F,0.0,0.0,0.0,0.0,1.0,1.0,8:03,11.0,0.0,0.0,0.0,19,swe,usa-swe,2026,0.0,RW,3
26,BERGLUND Jack,F,0.0,3.0,3.0,0.0,0.0,2.0,14:50,19.0,0.0,0.0,0.0,19,swe,usa-swe,2026,0.0,C,3
7,GUSTAFSSON Viggo,D,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,19,swe,usa-swe,2026,0.0,LD,4
12,GASTRIN Milton,F,0.0,0.0,0.0,0.0,2.0,1.0,9:32,15.0,0.0,0.0,0.0,19,swe,usa-swe,2026,0.0,C,4
28,NILSON Eric,F,0.0,1.0,1.0,2.0,2.0,1.0,11:26,16.0,0.0,0.0,0.0,19,swe,usa-swe,2026,0.0,RW,4
29,JUUSTOVAARA Casper,F,1.0,0.0,1.0,0.0,4.0,1.0,10:55,18.0,0.0,0.0,0.0,19,swe,usa-swe,2026,0.0,LW,4
23,DANIELSSON Liam,F,0.0,2.0,2.0,0.0,1.0,0.0,4:01,7.0,0.0,0.0,0.0,19,swe,usa-swe,2026,0.0,LW,5
1,LIV Herman,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19,swe,usa-swe,2026,0.0,GK,1
30,HARENSTAM Love,GK,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19,swe,usa-swe,2026,0.0,GK,2
1,LIV Herman,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19,swe,usa-swe,2026,0.0,GK,1
30,HARENSTAM Love,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,31.0,3.0,28.0,19,swe,usa-swe,2026,0.0,GK,2
