j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
5,JAKOBSEN Markus,D,0.0,1.0,1.0,0.0,0.0,-1.0,20:32,27.0,0.0,0.0,0.0,2,den,den-fin,2026,0.0,RD,1
6,JAKOBSEN Emil,D,0.0,1.0,1.0,0.0,1.0,0.0,16:16,19.0,0.0,0.0,0.0,2,den,den-fin,2026,0.0,LD,1
19,BUNDGAARD William,F,1.0,0.0,1.0,0.0,2.0,0.0,21:50,27.0,0.0,0.0,0.0,2,den,den-fin,2026,0.0,RW,1
22,LINDE Anton,F,1.0,0.0,1.0,0.0,2.0,0.0,20:19,27.0,0.0,0.0,0.0,2,den,den-fin,2026,0.0,C,1
24,KLYVO Mads,F,0.0,0.0,0.0,0.0,1.0,0.0,19:47,28.0,0.0,0.0,0.0,2,den,den-fin,2026,0.0,LW,1
3,KRAMER Jeppe,D,0.0,0.0,0.0,0.0,0.0,1.0,17:24,22.0,0.0,0.0,0.0,2,den,den-fin,2026,0.0,RD,2
8,OLESEN Jesper,D,0.0,0.0,0.0,0.0,2.0,-1.0,18:27,21.0,0.0,0.0,0.0,2,den,den-fin,2026,0.0,LD,2
9,PETERSEN Tristan,F,0.0,0.0,0.0,0.0,0.0,0.0,16:13,21.0,0.0,0.0,0.0,2,den,den-fin,2026,0.0,LW,2
12,GROSSMANN Albert,F,0.0,0.0,0.0,2.0,0.0,0.0,14:06,18.0,0.0,0.0,0.0,2,den,den-fin,2026,0.0,C,2
28,SCHIOLDAN Martinus Uggerhoj,F,0.0,0.0,0.0,0.0,0.0,0.0,14:34,19.0,0.0,0.0,0.0,2,den,den-fin,2026,0.0,RW,2
11,AMONDSEN Frederick,D,0.0,1.0,1.0,0.0,0.0,-3.0,19:03,21.0,0.0,0.0,0.0,2,den,den-fin,2026,0.0,RD,3
13,LARSEN Oliver,F,0.0,1.0,1.0,0.0,0.0,-2.0,17:41,21.0,0.0,0.0,0.0,2,den,den-fin,2026,0.0,RW,3
14,GREEN Oliver,F,0.0,0.0,0.0,0.0,1.0,-1.0,14:27,22.0,0.0,0.0,0.0,2,den,den-fin,2026,0.0,LW,3
21,DAMGAARD Viggo,D,0.0,0.0,0.0,0.0,0.0,-1.0,10:43,16.0,0.0,0.0,0.0,2,den,den-fin,2026,0.0,LD,3
23,BAERENTSEN Lasse,F,0.0,0.0,0.0,0.0,0.0,-1.0,13:27,21.0,0.0,0.0,0.0,2,den,den-fin,2026,0.0,C,3
7,RUNDH Frederik,D,0.0,0.0,0.0,0.0,0.0,-1.0,13:16,18.0,0.0,0.0,0.0,2,den,den-fin,2026,0.0,LD,4
10,STROMSTAD Sebastian,F,0.0,0.0,0.0,2.0,0.0,-1.0,9:35,13.0,0.0,0.0,0.0,2,den,den-fin,2026,0.0,RW,4
17,CILAN Lucas,F,0.0,0.0,0.0,0.0,0.0,-2.0,9:57,13.0,0.0,0.0,0.0,2,den,den-fin,2026,0.0,C,4
20,OLSEN Elias Borup,F,0.0,0.0,0.0,0.0,1.0,-2.0,9:16,13.0,0.0,0.0,0.0,2,den,den-fin,2026,0.0,LW,4
18,BERTRAM Jeppe,D,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,2,den,den-fin,2026,0.0,RD,4
1,WILDE Anton,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,den,den-fin,2026,0.0,GK,1
35,TIEDJEN Patrick,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,den,den-fin,2026,0.0,GK,2
1,WILDE Anton,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,43.0,6.0,37.0,2,den,den-fin,2026,0.0,GK,1
35,TIEDJEN Patrick,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,den,den-fin,2026,0.0,GK,2
7,NIEMINEN Daniel,D,0.0,0.0,0.0,0.0,4.0,2.0,17:35,23.0,0.0,0.0,0.0,2,fin,den-fin,2026,0.0,RD,1
22,HEMMING Emil,F,0.0,0.0,0.0,0.0,4.0,0.0,18:07,18.0,0.0,0.0,0.0,2,fin,den-fin,2026,0.0,RW,1
33,KIVIHARJU Aron,D,0.0,2.0,2.0,0.0,1.0,2.0,19:28,25.0,0.0,0.0,0.0,2,fin,den-fin,2026,0.0,LD,1
37,VANHANEN Matias,F,0.0,1.0,1.0,0.0,1.0,0.0,19:45,21.0,0.0,0.0,0.0,2,fin,den-fin,2026,0.0,LW,1
38,SUVANTO Oliver,F,1.0,0.0,1.0,0.0,2.0,0.0,19:25,21.0,0.0,0.0,0.0,2,fin,den-fin,2026,1.0,C,1
12,SAARELAINEN Joona,F,1.0,0.0,1.0,0.0,5.0,1.0,16:49,21.0,0.0,0.0,0.0,2,fin,den-fin,2026,0.0,LW,2
13,VAISANEN Veeti,D,0.0,0.0,0.0,0.0,2.0,-1.0,15:52,23.0,0.0,0.0,0.0,2,fin,den-fin,2026,0.0,LD,2
15,KOIVU Aatos,F,1.0,0.0,1.0,2.0,4.0,1.0,12:35,18.0,0.0,0.0,0.0,2,fin,den-fin,2026,0.0,RW,2
25,BOELIUS Lasse,D,0.0,2.0,2.0,0.0,1.0,-1.0,18:37,24.0,0.0,0.0,0.0,2,fin,den-fin,2026,0.0,RD,2
28,RUOHONEN Heikki,F,0.0,1.0,1.0,0.0,0.0,1.0,16:04,21.0,0.0,0.0,0.0,2,fin,den-fin,2026,0.0,C,2
2,JOKINEN Mitja,D,0.0,0.0,0.0,0.0,3.0,1.0,16:37,21.0,0.0,0.0,0.0,2,fin,den-fin,2026,0.0,LD,3
10,VESTERINEN Roope,F,2.0,0.0,2.0,0.0,4.0,2.0,13:10,19.0,0.0,0.0,0.0,2,fin,den-fin,2026,0.0,LW,3
23,TUUVA Leo,F,0.0,2.0,2.0,0.0,0.0,2.0,13:55,17.0,0.0,0.0,0.0,2,fin,den-fin,2026,0.0,RW,3
29,KUHTA Jasper,F,0.0,3.0,3.0,0.0,2.0,2.0,14:40,19.0,0.0,0.0,0.0,2,fin,den-fin,2026,0.0,C,3
34,VALILA Arttu,D,0.0,0.0,0.0,0.0,4.0,2.0,15:21,21.0,0.0,0.0,0.0,2,fin,den-fin,2026,0.0,RD,3
4,NYKYRI Niklas,D,0.0,0.0,0.0,0.0,2.0,1.0,13:37,19.0,0.0,0.0,0.0,2,fin,den-fin,2026,0.0,LD,4
18,KALTO Onni,F,1.0,0.0,1.0,0.0,2.0,0.0,11:01,16.0,0.0,0.0,0.0,2,fin,den-fin,2026,0.0,RW,4
21,WESTERGARD Max,F,0.0,1.0,1.0,0.0,1.0,0.0,11:14,15.0,0.0,0.0,0.0,2,fin,den-fin,2026,0.0,LW,4
35,JOKI Atte,F,0.0,0.0,0.0,2.0,1.0,0.0,11:02,17.0,0.0,0.0,0.0,2,fin,den-fin,2026,0.0,C,4
20,PIKKARAINEN Kasper,F,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,2,fin,den-fin,2026,0.0,LW,5
1,SAARINEN Kim,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,fin,den-fin,2026,0.0,GK,2
30,RIMPINEN Petteri,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,fin,den-fin,2026,0.0,GK,1
1,SAARINEN Kim,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,fin,den-fin,2026,0.0,GK,2
30,RIMPINEN Petteri,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.0,2.0,8.0,2,fin,den-fin,2026,0.0,GK,1
