j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
7,MISA Michael,F,0.0,0.0,0.0,0.0,1.0,-2.0,12:30,18.0,0.0,0.0,0.0,20,can,can-fin,2026,0.0,C,1
10,REID Cameron,D,0.0,0.0,0.0,0.0,2.0,1.0,20:15,25.0,0.0,0.0,0.0,20,can,can-fin,2026,0.0,LD,1
11,IGINLA Tij,F,1.0,1.0,2.0,0.0,3.0,-2.0,14:07,18.0,0.0,0.0,0.0,20,can,can-fin,2026,0.0,LW,1
19,PAREKH Zayne,D,1.0,2.0,3.0,2.0,2.0,1.0,19:27,22.0,0.0,0.0,0.0,20,can,can-fin,2026,0.0,RD,1
22,MARTONE Porter,F,0.0,1.0,1.0,0.0,2.0,-2.0,14:25,18.0,0.0,0.0,0.0,20,can,can-fin,2026,0.0,RW,1
4,BRUNICKE Harrison,D,0.0,0.0,0.0,0.0,2.0,0.0,15:56,21.0,0.0,0.0,0.0,20,can,can-fin,2026,0.0,RD,2
9,McKENNA Gavin,F,0.0,1.0,1.0,0.0,0.0,1.0,14:32,17.0,0.0,0.0,0.0,20,can,can-fin,2026,0.0,LW,2
13,MacKENZIE Ethan,D,0.0,0.0,0.0,2.0,0.0,-1.0,11:28,16.0,0.0,0.0,0.0,20,can,can-fin,2026,0.0,LD,2
28,MARTIN Brady,F,2.0,0.0,2.0,0.0,2.0,1.0,14:03,16.0,0.0,0.0,0.0,20,can,can-fin,2026,0.0,RW,2
29,HAGE Michael,F,0.0,2.0,2.0,0.0,4.0,1.0,13:05,18.0,0.0,0.0,0.0,20,can,can-fin,2026,0.0,C,2
2,AITCHESON Kashawn,D,0.0,1.0,1.0,0.0,2.0,2.0,21:28,26.0,0.0,0.0,0.0,20,can,can-fin,2026,0.0,LD,3
14,DANFORD Ben,D,0.0,0.0,0.0,0.0,1.0,2.0,18:28,24.0,0.0,0.0,0.0,20,can,can-fin,2026,0.0,RD,3
23,O'REILLY Sam,F,1.0,2.0,3.0,0.0,3.0,3.0,19:11,24.0,0.0,0.0,0.0,20,can,can-fin,2026,0.0,RW,3
