j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
8,HENSE Max,D,0.0,0.0,0.0,0.0,0.0,-1.0,19:27,24.0,0.0,0.0,0.0,21,ger,ger-den,2026,0.0,LD,1
22,KOSE Timo,F,0.0,0.0,0.0,2.0,0.0,0.0,5:29,7.0,0.0,0.0,0.0,21,ger,ger-den,2026,0.0,RW,1
23,PAPE Matthias,D,0.0,0.0,0.0,2.0,0.0,-1.0,21:08,27.0,0.0,0.0,0.0,21,ger,ger-den,2026,0.0,RD,1
25,SCHWARZ Tobias,F,1.0,0.0,1.0,0.0,4.0,2.0,17:19,20.0,0.0,0.0,0.0,21,ger,ger-den,2026,0.0,LW,1
27,SEIDL Simon,F,1.0,2.0,3.0,0.0,5.0,3.0,18:41,24.0,0.0,0.0,0.0,21,ger,ger-den,2026,0.0,C,1
6,SCHAMS Manuel,D,2.0,0.0,2.0,0.0,2.0,4.0,20:47,25.0,0.0,0.0,0.0,21,ger,ger-den,2026,0.0,LD,2
7,HANDEL Carlos,D,0.0,3.0,3.0,0.0,4.0,4.0,25:57,28.0,0.0,0.0,0.0,21,ger,ger-den,2026,0.0,RD,2
11,LEWANDOWSKI David,F,1.0,2.0,3.0,0.0,5.0,2.0,20:20,22.0,0.0,0.0,0.0,21,ger,ger-den,2026,0.0,LW,2
17,BOOS Lenny,F,1.0,3.0,4.0,0.0,4.0,1.0,19:05,22.0,0.0,0.0,0.0,21,ger,ger-den,2026,0.0,C,2
19,WILLHOFT Dustin,F,1.0,3.0,4.0,0.0,4.0,3.0,18:46,21.0,0.0,0.0,0.0,21,ger,ger-den,2026,1.0,RW,2
5,KOSE Fabio,D,0.0,0.0,0.0,0.0,1.0,0.0,10:52,13.0,0.0,0.0,0.0,21,ger,ger-den,2026,0.0,RD,3
9,PUL Elias,F,0.0,0.0,0.0,0.0,0.0,0.0,13:05,16.0,0.0,0.0,0.0,21,ger,ger-den,2026,0.0,LW,3
10,SCHAFER Maxim,F,1.0,1.0,2.0,2.0,1.0,0.0,14:05,19.0,0.0,0.0,0.0,21,ger,ger-den,2026,0.0,RW,3
18,KRETZSCHMAR Moritz,D,0.0,0.0,0.0,0.0,2.0,0.0,15:51,19.0,0.0,0.0,0.0,21,ger,ger-den,2026,0.0,LD,3
28,GRIVA Gustavs,F,0.0,0.0,0.0,0.0,0.0,0.0,11:52,15.0,0.0,0.0,0.0,21,ger,ger-den,2026,0.0,C,3
12,SCHUTZ Tim,F,0.0,0.0,0.0,0.0,3.0,-1.0,11:32,16.0,0.0,0.0,0.0,21,ger,ger-den,2026,0.0,LW,4
14,MAUL Nick,F,0.0,0.0,0.0,0.0,2.0,0.0,17:21,25.0,0.0,0.0,0.0,21,ger,ger-den,2026,0.0,RW,4
15,SPATH MARISCAL Mateu,F,0.0,0.0,0.0,2.0,0.0,-1.0,11:42,16.0,0.0,0.0,0.0,21,ger,ger-den,2026,0.0,C,4
16,MAHLER Nick,D,0.0,0.0,0.0,0.0,0.0,0.0,2:39,4.0,0.0,0.0,0.0,21,ger,ger-den,2026,0.0,LD,4
21,SAGER Clemens,F,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,21,ger,ger-den,2026,0.0,LW,5
1,VIEILLARD Linus,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,21,ger,ger-den,2026,0.0,GK,1
29,NEISSE Lennart,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,21,ger,ger-den,2026,0.0,GK,2
1,VIEILLARD Linus,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,22.0,4.0,18.0,21,ger,ger-den,2026,0.0,GK,1
29,NEISSE Lennart,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,21,ger,ger-den,2026,0.0,GK,2
5,JAKOBSEN Markus,D,0.0,2.0,2.0,2.0,3.0,1.0,25:16,35.0,0.0,0.0,0.0,21,den,ger-den,2026,0.0,RD,1
7,RUNDH Frederik,D,0.0,0.0,0.0,0.0,0.0,-1.0,19:34,30.0,0.0,0.0,0.0,21,den,ger-den,2026,0.0,LD,1
9,PETERSEN Tristan,F,0.0,0.0,0.0,0.0,0.0,-1.0,15:46,24.0,0.0,0.0,0.0,21,den,ger-den,2026,0.0,RW,1
22,LINDE Anton,F,1.0,0.0,1.0,0.0,7.0,0.0,24:36,29.0,0.0,0.0,0.0,21,den,ger-den,2026,0.0,C,1
24,KLYVO Mads,F,2.0,1.0,3.0,0.0,5.0,0.0,24:50,28.0,0.0,0.0,0.0,21,den,ger-den,2026,0.0,LW,1
3,KRAMER Jeppe,D,0.0,0.0,0.0,0.0,1.0,-1.0,20:19,30.0,0.0,0.0,0.0,21,den,ger-den,2026,0.0,RD,2
8,OLESEN Jesper,D,0.0,0.0,0.0,0.0,0.0,-1.0,21:36,30.0,0.0,0.0,0.0,21,den,ger-den,2026,0.0,LD,2
10,STROMSTAD Sebastian,F,0.0,0.0,0.0,0.0,0.0,-2.0,13:13,19.0,0.0,0.0,0.0,21,den,ger-den,2026,0.0,RW,2
23,BAERENTSEN Lasse,F,0.0,0.0,0.0,0.0,0.0,-3.0,15:31,22.0,0.0,0.0,0.0,21,den,ger-den,2026,0.0,C,2
28,SCHIOLDAN Martinus Uggerhoj,F,0.0,1.0,1.0,0.0,0.0,-2.0,8:29,11.0,0.0,0.0,0.0,21,den,ger-den,2026,0.0,LW,2
11,AMONDSEN Frederick,D,0.0,0.0,0.0,4.0,0.0,-2.0,12:44,19.0,0.0,0.0,0.0,21,den,ger-den,2026,0.0,RD,3
13,LARSEN Oliver,F,0.0,2.0,2.0,0.0,2.0,0.0,24:11,29.0,0.0,0.0,0.0,21,den,ger-den,2026,0.0,LW,3
14,GREEN Oliver,F,1.0,0.0,1.0,2.0,2.0,0.0,21:38,28.0,0.0,0.0,0.0,21,den,ger-den,2026,0.0,C,3
18,BERTRAM Jeppe,D,0.0,0.0,0.0,0.0,1.0,-2.0,12:57,21.0,0.0,0.0,0.0,21,den,ger-den,2026,0.0,LD,3
19,BUNDGAARD William,F,0.0,1.0,1.0,2.0,1.0,-1.0,24:34,30.0,0.0,0.0,0.0,21,den,ger-den,2026,0.0,RW,3
6,JAKOBSEN Emil,D,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,21,den,ger-den,2026,0.0,LD,4
12,GROSSMANN Albert,F,0.0,0.0,0.0,0.0,0.0,0.0,1:30,2.0,0.0,0.0,0.0,21,den,ger-den,2026,0.0,RW,4
17,CILAN Lucas,F,0.0,0.0,0.0,0.0,0.0,-1.0,10:21,14.0,0.0,0.0,0.0,21,den,ger-den,2026,0.0,C,4
20,OLSEN Elias Borup,F,0.0,0.0,0.0,0.0,0.0,0.0,1:35,3.0,0.0,0.0,0.0,21,den,ger-den,2026,0.0,LW,4
21,DAMGAARD Viggo,D,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,21,den,ger-den,2026,0.0,RD,4
1,WILDE Anton,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,21,den,ger-den,2026,0.0,GK,1
35,TIEDJEN Patrick,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,21,den,ger-den,2026,0.0,GK,2
