j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
4,SAHLIN WALLENIUS Leo,D,1.0,2.0,3.0,0.0,4.0,3.0,20:41,23.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,RD,1
8,CARELL Felix,D,1.0,0.0,1.0,0.0,3.0,3.0,19:01,22.0,0.0,0.0,0.0,22,swe,swe-lat,2026,1.0,LD,1
14,ERIKSSON Linus,F,0.0,1.0,1.0,2.0,1.0,2.0,17:18,21.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,C,1
16,FRONDELL Anton,F,2.0,0.0,2.0,0.0,5.0,4.0,18:30,22.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,LW,1
18,EKLUND Victor,F,0.0,2.0,2.0,2.0,4.0,3.0,17:08,21.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,RW,1
3,OHRQVIST Felix,D,0.0,0.0,0.0,2.0,3.0,-1.0,18:32,25.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,RD,2
5,BOUMEDIENNE Sascha,D,1.0,0.0,1.0,2.0,4.0,0.0,23:49,27.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,LD,2
15,STENBERG Ivar,F,0.0,1.0,1.0,0.0,5.0,2.0,18:07,20.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,LW,2
21,BJORCK Viggo,F,0.0,1.0,1.0,0.0,1.0,1.0,19:38,25.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,C,2
25,GENBORG Eddie,F,0.0,1.0,1.0,0.0,1.0,1.0,14:53,18.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,RW,2
11,PETTERSSON Lucas,F,0.0,1.0,1.0,2.0,0.0,1.0,14:39,20.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,LW,3
19,HAKANSSON William,D,0.0,0.0,0.0,0.0,1.0,2.0,13:43,16.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,RD,3
20,FREIJ Alfons,D,0.0,2.0,2.0,2.0,1.0,3.0,20:15,22.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,LD,3
23,DANIELSSON Liam,F,0.0,0.0,0.0,0.0,0.0,0.0,12:37,15.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,RW,3
26,BERGLUND Jack,F,1.0,0.0,1.0,0.0,2.0,2.0,15:49,20.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,C,3
9,JOHANSSON Victor,D,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,LD,4
12,GASTRIN Milton,F,0.0,0.0,0.0,0.0,0.0,0.0,7:20,12.0,0.0,0.0,0.0,22,swe,swe-lat,2026,0.0,C,4
