j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
5,JIRICEK Adam,D,1.0,0.0,1.0,0.0,2.0,1.0,20:02,28.0,0.0,0.0,0.0,23,cze,cze-sui,2026,1.0,RD,1
7,FIBIGR Jakub,D,1.0,1.0,2.0,0.0,2.0,2.0,22:41,29.0,0.0,0.0,0.0,23,cze,cze-sui,2026,0.0,LD,1
14,NESTRASIL Vaclav,F,0.0,0.0,0.0,0.0,0.0,1.0,15:47,19.0,0.0,0.0,0.0,23,cze,cze-sui,2026,0.0,RW,1
15,CIHAR Vojtech,F,0.0,2.0,2.0,0.0,4.0,1.0,17:05,24.0,0.0,0.0,0.0,23,cze,cze-sui,2026,0.0,LW,1
17,SIKORA Petr,F,1.0,2.0,3.0,0.0,5.0,2.0,18:23,25.0,0.0,0.0,0.0,23,cze,cze-sui,2026,0.0,C,1
6,MRTKA Radim,D,0.0,0.0,0.0,2.0,2.0,2.0,17:32,26.0,0.0,0.0,0.0,23,cze,cze-sui,2026,0.0,RD,2
12,CURRAN Maxmilian,F,0.0,0.0,0.0,2.0,5.0,0.0,16:51,20.0,0.0,0.0,0.0,23,cze,cze-sui,2026,0.0,C,2
18,POLETIN Tomas,F,0.0,1.0,1.0,0.0,1.0,1.0,14:25,20.0,0.0,0.0,0.0,23,cze,cze-sui,2026,0.0,LW,2
20,BENAK Adam,F,0.0,1.0,1.0,0.0,3.0,1.0,15:10,18.0,0.0,0.0,0.0,23,cze,cze-sui,2026,0.0,RW,2
23,GALVAS Tomas,D,1.0,0.0,1.0,0.0,2.0,1.0,20:20,23.0,0.0,0.0,0.0,23,cze,cze-sui,2026,0.0,LD,2
3,PSENICKA Max,D,0.0,0.0,0.0,0.0,1.0,1.0,19:20,23.0,0.0,0.0,0.0,23,cze,cze-sui,2026,0.0,RD,3
8,MAN Matyas,D,0.0,0.0,0.0,0.0,1.0,1.0,16:34,21.0,0.0,0.0,0.0,23,cze,cze-sui,2026,0.0,LD,3
19,CHLUDIL Danny,F,0.0,0.0,0.0,2.0,2.0,-1.0,1:31,4.0,0.0,0.0,0.0,23,cze,cze-sui,2026,0.0,RW,3
24,NOVOTNY Adam,F,0.0,0.0,0.0,0.0,6.0,0.0,17:43,21.0,0.0,0.0,0.0,23,cze,cze-sui,2026,0.0,LW,3
25,HOCH Stepan,F,0.0,0.0,0.0,0.0,1.0,0.0,13:24,21.0,0.0,0.0,0.0,23,cze,cze-sui,2026,0.0,C,3
9,DRAVECKY Vladimir,D,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,23,cze,cze-sui,2026,0.0,LD,4
11,KUBIESA Matej,F,0.0,2.0,2.0,2.0,2.0,2.0,12:38,19.0,0.0,0.0,0.0,23,cze,cze-sui,2026,0.0,LW,4
21,KLIMA Jiri,F,1.0,2.0,3.0,0.0,3.0,3.0,11:10,18.0,0.0,0.0,0.0,23,cze,cze-sui,2026,0.0,RW,4
29,DRANCAK Samuel,F,1.0,0.0,1.0,0.0,1.0,2.0,11:39,18.0,0.0,0.0,0.0,23,cze,cze-sui,2026,0.0,C,4
22,TITLBACH Adam,F,0.0,0.0,0.0,0.0,0.0,0.0,15:02,17.0,0.0,0.0,0.0,23,cze,cze-sui,2026,0.0,LW,5
1,MARIK Matyas,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23,cze,cze-sui,2026,0.0,GK,2
30,ORSULAK Michal,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23,cze,cze-sui,2026,0.0,GK,1
1,MARIK Matyas,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23,cze,cze-sui,2026,0.0,GK,2
30,ORSULAK Michal,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,20.0,2.0,18.0,23,cze,cze-sui,2026,0.0,GK,1
19,NEUENSCHWANDER Jonah,F,0.0,1.0,1.0,0.0,2.0,-1.0,16:19,22.0,0.0,0.0,0.0,23,sui,cze-sui,2026,0.0,C,1
28,USTINKOV Daniil,D,0.0,1.0,1.0,0.0,0.0,0.0,18:14,27.0,0.0,0.0,0.0,23,sui,cze-sui,2026,0.0,LD,1
39,REBER Jamiro,F,1.0,0.0,1.0,0.0,2.0,-1.0,19:23,25.0,0.0,0.0,0.0,23,sui,cze-sui,2026,0.0,LW,1
41,MUGGLI Leon,D,1.0,0.0,1.0,2.0,3.0,-1.0,20:31,31.0,0.0,0.0,0.0,23,sui,cze-sui,2026,0.0,RD,1
77,WEY Loris,F,0.0,0.0,0.0,0.0,1.0,-1.0,19:17,30.0,0.0,0.0,0.0,23,sui,cze-sui,2026,0.0,RW,1
13,SANSONNENS Basile,D,0.0,0.0,0.0,0.0,0.0,-2.0,17:15,28.0,0.0,0.0,0.0,23,sui,cze-sui,2026,0.0,RD,2
15,STEINER Lars,F,0.0,1.0,1.0,0.0,3.0,-2.0,17:12,23.0,0.0,0.0,0.0,23,sui,cze-sui,2026,0.0,RW,2
26,JOHNSON Ludvig,D,0.0,0.0,0.0,2.0,0.0,-1.0,20:01,29.0,0.0,0.0,0.0,23,sui,cze-sui,2026,0.0,LD,2
78,GROSSNIKLAUS Joel,F,0.0,0.0,0.0,0.0,2.0,0.0,13:06,22.0,0.0,0.0,0.0,23,sui,cze-sui,2026,0.0,C,2
88,ANTENEN Robin,F,0.0,0.0,0.0,0.0,2.0,0.0,16:48,25.0,0.0,0.0,0.0,23,sui,cze-sui,2026,0.0,LW,2
8,MEIER Gian,D,0.0,0.0,0.0,2.0,1.0,-2.0,20:14,28.0,0.0,0.0,0.0,23,sui,cze-sui,2026,0.0,RD,3
14,BLESSING Niklas,D,0.0,0.0,0.0,0.0,0.0,-2.0,19:26,30.0,0.0,0.0,0.0,23,sui,cze-sui,2026,0.0,LD,3
62,AESCHLIMANN Mike,F,0.0,1.0,1.0,0.0,3.0,0.0,11:05,16.0,0.0,0.0,0.0,23,sui,cze-sui,2026,0.0,LW,3
89,KOERBLER Kimi,F,0.0,0.0,0.0,0.0,0.0,-2.0,14:22,27.0,0.0,0.0,0.0,23,sui,cze-sui,2026,0.0,RW,3
96,MOTTARD Paul,F,0.0,0.0,0.0,0.0,1.0,-2.0,9:49,16.0,0.0,0.0,0.0,23,sui,cze-sui,2026,0.0,C,3
9,CATTIN Nolan,F,0.0,0.0,0.0,0.0,0.0,0.0,11:15,17.0,0.0,0.0,0.0,23,sui,cze-sui,2026,0.0,RW,4
11,BORRADORI Nathan,F,0.0,0.0,0.0,2.0,0.0,-1.0,10:19,16.0,0.0,0.0,0.0,23,sui,cze-sui,2026,0.0,LW,4
71,WAIDACHER Beni,F,0.0,0.0,0.0,2.0,0.0,-2.0,14:50,20.0,0.0,0.0,0.0,23,sui,cze-sui,2026,0.0,C,4
94,LEHMANN Nik,D,0.0,0.0,0.0,0.0,0.0,0.0,3:19,5.0,0.0,0.0,0.0,23,sui,cze-sui,2026,0.0,LD,4
7,HENRY Cyrill,F,0.0,0.0,0.0,0.0,0.0,0.0,2:42,5.0,0.0,0.0,0.0,23,sui,cze-sui,2026,0.0,LW,5
35,NEUENSCHWANDER Elijah,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23,sui,cze-sui,2026,0.0,GK,2
65,KIRSCH Christian,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23,sui,cze-sui,2026,0.0,GK,1
35,NEUENSCHWANDER Elijah,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23,sui,cze-sui,2026,0.0,GK,2
65,KIRSCH Christian,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,43.0,6.0,37.0,23,sui,cze-sui,2026,0.0,GK,1
