j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
6,KLEBER Adam,D,0.0,0.0,0.0,0.0,2.0,-1.0,24:02,27.0,0.0,0.0,0.0,24,usa,usa-fin,2026,0.0,RD,1
10,HAGENS James,F,0.0,2.0,2.0,0.0,4.0,-1.0,19:20,24.0,0.0,0.0,0.0,24,usa,usa-fin,2026,0.0,C,1
12,ZELLERS Will,F,0.0,1.0,1.0,2.0,6.0,0.0,17:43,21.0,0.0,0.0,0.0,24,usa,usa-fin,2026,0.0,LW,1
44,HUTSON Cole,D,1.0,1.0,2.0,0.0,2.0,0.0,26:53,30.0,0.0,0.0,0.0,24,usa,usa-fin,2026,0.0,LD,1
74,ZIEMER Brodie,F,0.0,0.0,0.0,0.0,0.0,-2.0,18:30,26.0,0.0,0.0,0.0,24,usa,usa-fin,2026,0.0,RW,1
2,OSBURN Luke,D,0.0,0.0,0.0,0.0,0.0,0.0,20:52,24.0,0.0,0.0,0.0,24,usa,usa-fin,2026,0.0,LD,2
4,STIGA Teddy,F,0.0,0.0,0.0,0.0,1.0,-1.0,14:16,19.0,0.0,0.0,0.0,24,usa,usa-fin,2026,0.0,C,2
17,LEE Ryker,F,1.0,0.0,1.0,0.0,2.0,0.0,15:12,18.0,0.0,0.0,0.0,24,usa,usa-fin,2026,0.0,RW,2
18,MOONEY LJ,F,0.0,0.0,0.0,0.0,1.0,-1.0,17:05,22.0,0.0,0.0,0.0,24,usa,usa-fin,2026,0.0,LW,2
25,REID Chase,D,0.0,0.0,0.0,0.0,1.0,0.0,22:03,25.0,0.0,0.0,0.0,24,usa,usa-fin,2026,0.0,RD,2
5,HENSLER Logan,D,0.0,0.0,0.0,0.0,0.0,0.0,7:29,11.0,0.0,0.0,0.0,24,usa,usa-fin,2026,0.0,RD,3
8,SPELLACY AJ,F,0.0,0.0,0.0,2.0,3.0,1.0,16:41,20.0,0.0,0.0,0.0,24,usa,usa-fin,2026,0.0,C,3
14,BARNETT Asher,D,0.0,0.0,0.0,0.0,1.0,-1.0,12:16,17.0,0.0,0.0,0.0,24,usa,usa-fin,2026,0.0,LD,3
22,McMORROW Brendan,F,0.0,1.0,1.0,0.0,2.0,1.0,12:33,15.0,0.0,0.0,0.0,24,usa,usa-fin,2026,0.0,RW,3
24,HORCOFF Will,F,0.0,0.0,0.0,0.0,1.0,0.0,15:12,18.0,0.0,0.0,0.0,24,usa,usa-fin,2026,0.0,LW,3
11,McKINNEY Cole,F,0.0,0.0,0.0,0.0,0.0,0.0,8:50,12.0,0.0,0.0,0.0,24,usa,usa-fin,2026,0.0,RW,4
16,EMERY EJ,D,0.0,0.0,0.0,0.0,0.0,-1.0,4:01,5.0,0.0,0.0,0.0,24,usa,usa-fin,2026,0.0,LD,4
34,EISERMAN Cole,F,1.0,0.0,1.0,0.0,3.0,0.0,14:19,20.0,0.0,0.0,0.0,24,usa,usa-fin,2026,0.0,LW,4
38,BEDNARIK Kamil,F,0.0,1.0,1.0,0.0,1.0,0.0,11:23,17.0,0.0,0.0,0.0,24,usa,usa-fin,2026,0.0,C,4
23,VANSAGHI Shane,F,0.0,0.0,0.0,0.0,1.0,-1.0,3:38,5.0,0.0,0.0,0.0,24,usa,usa-fin,2026,0.0,LW,5
30,HEIL Caleb,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24,usa,usa-fin,2026,0.0,GK,2
31,KEMPF Nick,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24,usa,usa-fin,2026,0.0,GK,1
30,HEIL Caleb,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24,usa,usa-fin,2026,0.0,GK,2
31,KEMPF Nick,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,25.0,4.0,21.0,24,usa,usa-fin,2026,0.0,GK,1
7,NIEMINEN Daniel,D,0.0,0.0,0.0,0.0,0.0,-2.0,21:32,30.0,0.0,0.0,0.0,24,fin,usa-fin,2026,0.0,RD,1
22,HEMMING Emil,F,0.0,0.0,0.0,0.0,5.0,-1.0,18:18,24.0,0.0,0.0,0.0,24,fin,usa-fin,2026,0.0,RW,1
27,MIETTINEN Julius,F,0.0,1.0,1.0,0.0,2.0,0.0,18:53,25.0,0.0,0.0,0.0,24,fin,usa-fin,2026,0.0,C,1
33,KIVIHARJU Aron,D,0.0,1.0,1.0,0.0,1.0,-1.0,20:34,33.0,0.0,0.0,0.0,24,fin,usa-fin,2026,0.0,LD,1
37,VANHANEN Matias,F,0.0,1.0,1.0,0.0,2.0,0.0,18:47,25.0,0.0,0.0,0.0,24,fin,usa-fin,2026,0.0,LW,1
12,SAARELAINEN Joona,F,1.0,1.0,2.0,0.0,3.0,1.0,17:57,25.0,0.0,0.0,0.0,24,fin,usa-fin,2026,0.0,LW,2
13,VAISANEN Veeti,D,0.0,0.0,0.0,0.0,0.0,1.0,17:08,24.0,0.0,0.0,0.0,24,fin,usa-fin,2026,0.0,LD,2
23,TUUVA Leo,F,1.0,1.0,2.0,0.0,1.0,3.0,13:37,22.0,0.0,0.0,0.0,24,fin,usa-fin,2026,0.0,RW,2
25,BOELIUS Lasse,D,0.0,1.0,1.0,0.0,2.0,1.0,14:55,22.0,0.0,0.0,0.0,24,fin,usa-fin,2026,0.0,RD,2
28,RUOHONEN Heikki,F,1.0,0.0,1.0,0.0,2.0,2.0,16:55,25.0,0.0,0.0,0.0,24,fin,usa-fin,2026,0.0,C,2
2,JOKINEN Mitja,D,0.0,0.0,0.0,2.0,0.0,1.0,16:15,26.0,0.0,0.0,0.0,24,fin,usa-fin,2026,0.0,LD,3
20,PIKKARAINEN Kasper,F,0.0,0.0,0.0,2.0,2.0,-1.0,13:00,17.0,0.0,0.0,0.0,24,fin,usa-fin,2026,0.0,RW,3
21,WESTERGARD Max,F,0.0,1.0,1.0,0.0,0.0,1.0,13:24,18.0,0.0,0.0,0.0,24,fin,usa-fin,2026,0.0,LW,3
29,KUHTA Jasper,F,0.0,0.0,0.0,0.0,2.0,0.0,16:15,20.0,0.0,0.0,0.0,24,fin,usa-fin,2026,0.0,C,3
34,VALILA Arttu,D,1.0,0.0,1.0,0.0,1.0,2.0,15:31,20.0,0.0,0.0,0.0,24,fin,usa-fin,2026,1.0,RD,3
6,PIIPARINEN Juho,D,0.0,0.0,0.0,0.0,0.0,1.0,12:32,17.0,0.0,0.0,0.0,24,fin,usa-fin,2026,0.0,LD,4
10,VESTERINEN Roope,F,0.0,0.0,0.0,0.0,0.0,0.0,11:46,16.0,0.0,0.0,0.0,24,fin,usa-fin,2026,0.0,LW,4
35,JOKI Atte,F,0.0,0.0,0.0,0.0,2.0,0.0,10:25,14.0,0.0,0.0,0.0,24,fin,usa-fin,2026,0.0,RW,4
38,SUVANTO Oliver,F,0.0,0.0,0.0,0.0,0.0,0.0,13:52,19.0,0.0,0.0,0.0,24,fin,usa-fin,2026,0.0,C,4
18,KALTO Onni,F,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,24,fin,usa-fin,2026,0.0,LW,5
1,SAARINEN Kim,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24,fin,usa-fin,2026,0.0,GK,2
30,RIMPINEN Petteri,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24,fin,usa-fin,2026,0.0,GK,1
1,SAARINEN Kim,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24,fin,usa-fin,2026,0.0,GK,2
30,RIMPINEN Petteri,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,31.0,3.0,28.0,24,fin,usa-fin,2026,0.0,GK,1
