j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
7,MISA Michael,F,1.0,1.0,2.0,0.0,5.0,3.0,13:37,19.0,0.0,0.0,0.0,25,can,can-svk,2026,0.0,C,1
10,REID Cameron,D,0.0,0.0,0.0,0.0,0.0,2.0,11:48,18.0,0.0,0.0,0.0,25,can,can-svk,2026,0.0,LD,1
11,IGINLA Tij,F,1.0,0.0,1.0,0.0,5.0,3.0,13:47,19.0,0.0,0.0,0.0,25,can,can-svk,2026,1.0,LW,1
19,PAREKH Zayne,D,0.0,2.0,2.0,6.0,3.0,2.0,17:27,19.0,0.0,0.0,0.0,25,can,can-svk,2026,0.0,RD,1
22,MARTONE Porter,F,1.0,1.0,2.0,2.0,2.0,3.0,15:04,19.0,0.0,0.0,0.0,25,can,can-svk,2026,0.0,RW,1
4,BRUNICKE Harrison,D,0.0,0.0,0.0,0.0,1.0,0.0,14:16,16.0,0.0,0.0,0.0,25,can,can-svk,2026,0.0,RD,2
9,McKENNA Gavin,F,0.0,1.0,1.0,0.0,1.0,0.0,18:20,16.0,0.0,0.0,0.0,25,can,can-svk,2026,0.0,LW,2
13,MacKENZIE Ethan,D,0.0,1.0,1.0,0.0,0.0,1.0,12:20,15.0,0.0,0.0,0.0,25,can,can-svk,2026,0.0,LD,2
28,MARTIN Brady,F,1.0,0.0,1.0,0.0,3.0,0.0,17:35,17.0,0.0,0.0,0.0,25,can,can-svk,2026,0.0,RW,2
29,HAGE Michael,F,0.0,1.0,1.0,0.0,3.0,0.0,18:08,17.0,0.0,0.0,0.0,25,can,can-svk,2026,0.0,C,2
2,AITCHESON Kashawn,D,0.0,0.0,0.0,0.0,2.0,0.0,19:24,20.0,0.0,0.0,0.0,25,can,can-svk,2026,0.0,LD,3
14,DANFORD Ben,D,0.0,0.0,0.0,0.0,1.0,0.0,17:01,20.0,0.0,0.0,0.0,25,can,can-svk,2026,0.0,RD,3
23,O'REILLY Sam,F,1.0,1.0,2.0,0.0,3.0,2.0,14:07,20.0,0.0,0.0,0.0,25,can,can-svk,2026,0.0,RW,3
25,DESNOYERS Caleb,F,0.0,1.0,1.0,2.0,0.0,0.0,9:02,12.0,0.0,0.0,0.0,25,can,can-svk,2026,0.0,LW,3
26,BEAUDOIN Cole,F,1.0,1.0,2.0,0.0,1.0,2.0,15:39,21.0,0.0,0.0,0.0,25,can,can-svk,2026,0.0,C,3
5,CARELS Carson,D,0.0,1.0,1.0,2.0,2.0,3.0,10:23,13.0,0.0,0.0,0.0,25,can,can-svk,2026,0.0,LD,4
8,COOTES Braeden,F,0.0,0.0,0.0,0.0,2.0,0.0,11:03,17.0,0.0,0.0,0.0,25,can,can-svk,2026,0.0,RW,4
17,LUCHANKO Jett,F,0.0,0.0,0.0,0.0,2.0,1.0,16:36,23.0,0.0,0.0,0.0,25,can,can-svk,2026,0.0,LW,4
20,VERHOEFF Keaton,D,0.0,2.0,2.0,0.0,4.0,2.0,10:32,13.0,0.0,0.0,0.0,25,can,can-svk,2026,0.0,RD,4
21,RESCHNY Cole,F,1.0,0.0,1.0,0.0,3.0,1.0,15:59,24.0,0.0,0.0,0.0,25,can,can-svk,2026,0.0,C,4
1,IVANKOVIC Jack,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,25,can,can-svk,2026,0.0,GK,1
30,GEORGE Carter,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,25,can,can-svk,2026,0.0,GK,2
1,IVANKOVIC Jack,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,22.0,1.0,21.0,25,can,can-svk,2026,0.0,GK,1
