j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
4,SAHLIN WALLENIUS Leo,D,0.0,0.0,0.0,0.0,2.0,1.0,26:37,29.0,0.0,0.0,0.0,26,swe,swe-fin,2026,0.0,RD,1
8,CARELL Felix,D,0.0,0.0,0.0,2.0,1.0,0.0,21:56,28.0,0.0,0.0,0.0,26,swe,swe-fin,2026,0.0,LD,1
14,ERIKSSON Linus,F,1.0,0.0,1.0,0.0,2.0,1.0,16:16,24.0,0.0,0.0,0.0,26,swe,swe-fin,2026,0.0,C,1
16,FRONDELL Anton,F,0.0,1.0,1.0,0.0,2.0,1.0,18:45,23.0,0.0,0.0,0.0,26,swe,swe-fin,2026,0.0,LW,1
18,EKLUND Victor,F,0.0,1.0,1.0,0.0,4.0,1.0,20:43,27.0,0.0,0.0,0.0,26,swe,swe-fin,2026,0.0,RW,1
3,OHRQVIST Felix,D,0.0,0.0,0.0,0.0,2.0,1.0,18:09,27.0,0.0,0.0,0.0,26,swe,swe-fin,2026,0.0,RD,2
5,BOUMEDIENNE Sascha,D,0.0,0.0,0.0,0.0,1.0,1.0,22:30,28.0,0.0,0.0,0.0,26,swe,swe-fin,2026,0.0,LD,2
15,STENBERG Ivar,F,1.0,1.0,2.0,4.0,2.0,1.0,20:11,23.0,0.0,0.0,0.0,26,swe,swe-fin,2026,0.0,LW,2
21,BJORCK Viggo,F,0.0,1.0,1.0,0.0,2.0,1.0,23:29,27.0,0.0,0.0,0.0,26,swe,swe-fin,2026,0.0,C,2
25,GENBORG Eddie,F,1.0,1.0,2.0,0.0,4.0,1.0,18:02,23.0,0.0,0.0,0.0,26,swe,swe-fin,2026,0.0,RW,2
19,HAKANSSON William,D,0.0,0.0,0.0,0.0,0.0,-2.0,11:59,14.0,0.0,0.0,0.0,26,swe,swe-fin,2026,0.0,RD,3
20,FREIJ Alfons,D,0.0,0.0,0.0,0.0,1.0,-1.0,15:33,20.0,0.0,0.0,0.0,26,swe,swe-fin,2026,0.0,LD,3
22,KRANTZ Loke,F,0.0,0.0,0.0,0.0,1.0,-1.0,9:46,15.0,0.0,0.0,0.0,26,swe,swe-fin,2026,0.0,RW,3
26,BERGLUND Jack,F,0.0,1.0,1.0,0.0,0.0,1.0,16:29,22.0,0.0,0.0,0.0,26,swe,swe-fin,2026,1.0,C,3
29,JUUSTOVAARA Casper,F,0.0,0.0,0.0,2.0,1.0,-1.0,12:19,20.0,0.0,0.0,0.0,26,swe,swe-fin,2026,0.0,LW,3
9,JOHANSSON Victor,D,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,26,swe,swe-fin,2026,0.0,LD,4
12,GASTRIN Milton,F,0.0,0.0,0.0,0.0,0.0,-2.0,6:10,9.0,0.0,0.0,0.0,26,swe,swe-fin,2026,0.0,C,4
27,BJORCK Wilson,F,0.0,0.0,0.0,0.0,0.0,-1.0,7:01,9.0,0.0,0.0,0.0,26,swe,swe-fin,2026,0.0,LW,4
28,NILSON Eric,F,0.0,0.0,0.0,0.0,1.0,-1.0,5:34,7.0,0.0,0.0,0.0,26,swe,swe-fin,2026,0.0,RW,4
23,DANIELSSON Liam,F,0.0,0.0,0.0,0.0,0.0,0.0,2:24,4.0,0.0,0.0,0.0,26,swe,swe-fin,2026,0.0,LW,5
1,LIV Herman,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,26,swe,swe-fin,2026,0.0,GK,1
30,HARENSTAM Love,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,26,swe,swe-fin,2026,0.0,GK,2
1,LIV Herman,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,26,swe,swe-fin,2026,0.0,GK,1
30,HARENSTAM Love,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,31.0,3.0,28.0,26,swe,swe-fin,2026,0.0,GK,2
7,NIEMINEN Daniel,D,0.0,0.0,0.0,0.0,1.0,0.0,19:47,24.0,0.0,0.0,0.0,26,fin,swe-fin,2026,0.0,RD,1
22,HEMMING Emil,F,0.0,0.0,0.0,0.0,2.0,-2.0,16:12,22.0,0.0,0.0,0.0,26,fin,swe-fin,2026,0.0,RW,1
27,MIETTINEN Julius,F,0.0,0.0,0.0,2.0,2.0,-2.0,18:45,24.0,0.0,0.0,0.0,26,fin,swe-fin,2026,0.0,C,1
33,KIVIHARJU Aron,D,0.0,1.0,1.0,0.0,0.0,2.0,22:20,30.0,0.0,0.0,0.0,26,fin,swe-fin,2026,0.0,LD,1
37,VANHANEN Matias,F,0.0,0.0,0.0,0.0,1.0,-2.0,16:47,22.0,0.0,0.0,0.0,26,fin,swe-fin,2026,0.0,LW,1
12,SAARELAINEN Joona,F,1.0,0.0,1.0,0.0,2.0,0.0,16:38,20.0,0.0,0.0,0.0,26,fin,swe-fin,2026,0.0,LW,2
13,VAISANEN Veeti,D,0.0,0.0,0.0,0.0,1.0,-2.0,14:16,22.0,0.0,0.0,0.0,26,fin,swe-fin,2026,0.0,LD,2
23,TUUVA Leo,F,0.0,0.0,0.0,4.0,2.0,0.0,15:48,22.0,0.0,0.0,0.0,26,fin,swe-fin,2026,0.0,RW,2
25,BOELIUS Lasse,D,0.0,0.0,0.0,0.0,3.0,-2.0,16:08,19.0,0.0,0.0,0.0,26,fin,swe-fin,2026,0.0,RD,2
28,RUOHONEN Heikki,F,0.0,1.0,1.0,2.0,2.0,0.0,18:09,23.0,0.0,0.0,0.0,26,fin,swe-fin,2026,0.0,C,2
2,JOKINEN Mitja,D,0.0,1.0,1.0,0.0,0.0,0.0,14:30,19.0,0.0,0.0,0.0,26,fin,swe-fin,2026,0.0,LD,3
20,PIKKARAINEN Kasper,F,0.0,1.0,1.0,0.0,0.0,1.0,11:03,14.0,0.0,0.0,0.0,26,fin,swe-fin,2026,0.0,RW,3
21,WESTERGARD Max,F,0.0,0.0,0.0,0.0,2.0,1.0,14:13,15.0,0.0,0.0,0.0,26,fin,swe-fin,2026,0.0,LW,3
29,KUHTA Jasper,F,1.0,0.0,1.0,0.0,2.0,1.0,13:30,14.0,0.0,0.0,0.0,26,fin,swe-fin,2026,0.0,C,3
