j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
7,MISA Michael,F,0.0,1.0,1.0,2.0,1.0,0.0,15:41,21.0,0.0,0.0,0.0,27,can,can-cze,2026,0.0,C,1
10,REID Cameron,D,0.0,0.0,0.0,0.0,0.0,-1.0,15:41,23.0,0.0,0.0,0.0,27,can,can-cze,2026,0.0,LD,1
11,IGINLA Tij,F,1.0,0.0,1.0,0.0,3.0,-1.0,15:29,20.0,0.0,0.0,0.0,27,can,can-cze,2026,0.0,LW,1
19,PAREKH Zayne,D,0.0,1.0,1.0,0.0,5.0,0.0,18:33,24.0,0.0,0.0,0.0,27,can,can-cze,2026,0.0,RD,1
22,MARTONE Porter,F,1.0,0.0,1.0,0.0,1.0,0.0,16:44,22.0,0.0,0.0,0.0,27,can,can-cze,2026,0.0,RW,1
4,BRUNICKE Harrison,D,0.0,1.0,1.0,0.0,0.0,-1.0,14:17,20.0,0.0,0.0,0.0,27,can,can-cze,2026,0.0,RD,2
9,McKENNA Gavin,F,0.0,1.0,1.0,14.0,1.0,0.0,19:35,23.0,0.0,0.0,0.0,27,can,can-cze,2026,0.0,LW,2
13,MacKENZIE Ethan,D,0.0,0.0,0.0,0.0,1.0,-1.0,11:39,15.0,0.0,0.0,0.0,27,can,can-cze,2026,0.0,LD,2
28,MARTIN Brady,F,0.0,0.0,0.0,0.0,0.0,0.0,4:55,6.0,0.0,0.0,0.0,27,can,can-cze,2026,0.0,RW,2
29,HAGE Michael,F,0.0,2.0,2.0,0.0,6.0,1.0,17:42,23.0,0.0,0.0,0.0,27,can,can-cze,2026,0.0,C,2
2,AITCHESON Kashawn,D,0.0,1.0,1.0,0.0,0.0,-1.0,18:16,23.0,0.0,0.0,0.0,27,can,can-cze,2026,0.0,LD,3
14,DANFORD Ben,D,0.0,0.0,0.0,0.0,2.0,-2.0,18:05,22.0,0.0,0.0,0.0,27,can,can-cze,2026,0.0,RD,3
23,O'REILLY Sam,F,0.0,0.0,0.0,0.0,1.0,-1.0,17:10,24.0,0.0,0.0,0.0,27,can,can-cze,2026,0.0,RW,3
25,DESNOYERS Caleb,F,0.0,0.0,0.0,0.0,0.0,-2.0,14:32,18.0,0.0,0.0,0.0,27,can,can-cze,2026,0.0,LW,3
26,BEAUDOIN Cole,F,0.0,0.0,0.0,0.0,0.0,-1.0,19:20,24.0,0.0,0.0,0.0,27,can,can-cze,2026,0.0,C,3
5,CARELS Carson,D,0.0,0.0,0.0,0.0,0.0,0.0,9:00,10.0,0.0,0.0,0.0,27,can,can-cze,2026,0.0,LD,4
8,COOTES Braeden,F,0.0,0.0,0.0,0.0,0.0,-1.0,9:02,12.0,0.0,0.0,0.0,27,can,can-cze,2026,0.0,RW,4
17,LUCHANKO Jett,F,0.0,1.0,1.0,2.0,0.0,-3.0,11:43,17.0,0.0,0.0,0.0,27,can,can-cze,2026,0.0,LW,4
20,VERHOEFF Keaton,D,0.0,0.0,0.0,0.0,0.0,0.0,8:39,10.0,0.0,0.0,0.0,27,can,can-cze,2026,0.0,RD,4
21,RESCHNY Cole,F,2.0,0.0,2.0,2.0,3.0,-1.0,17:21,23.0,0.0,0.0,0.0,27,can,can-cze,2026,0.0,C,4
1,IVANKOVIC Jack,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,27,can,can-cze,2026,0.0,GK,1
30,GEORGE Carter,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,27,can,can-cze,2026,0.0,GK,2
1,IVANKOVIC Jack,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,36.0,5.0,31.0,27,can,can-cze,2026,0.0,GK,1
30,GEORGE Carter,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,27,can,can-cze,2026,0.0,GK,2
5,JIRICEK Adam,D,0.0,0.0,0.0,0.0,2.0,0.0,21:55,30.0,0.0,0.0,0.0,27,cze,can-cze,2026,0.0,RD,1
7,FIBIGR Jakub,D,0.0,0.0,0.0,0.0,0.0,0.0,21:35,28.0,0.0,0.0,0.0,27,cze,can-cze,2026,0.0,LD,1
14,NESTRASIL Vaclav,F,0.0,1.0,1.0,0.0,1.0,0.0,16:21,22.0,0.0,0.0,0.0,27,cze,can-cze,2026,0.0,RW,1
15,CIHAR Vojtech,F,2.0,0.0,2.0,0.0,6.0,1.0,22:42,29.0,0.0,0.0,0.0,27,cze,can-cze,2026,0.0,LW,1
17,SIKORA Petr,F,0.0,1.0,1.0,2.0,2.0,1.0,23:19,29.0,0.0,0.0,0.0,27,cze,can-cze,2026,0.0,C,1
6,MRTKA Radim,D,0.0,0.0,0.0,0.0,1.0,1.0,17:56,26.0,0.0,0.0,0.0,27,cze,can-cze,2026,0.0,RD,2
12,CURRAN Maxmilian,F,1.0,2.0,3.0,0.0,2.0,2.0,14:38,27.0,0.0,0.0,0.0,27,cze,can-cze,2026,0.0,C,2
18,POLETIN Tomas,F,1.0,1.0,2.0,4.0,3.0,3.0,14:42,22.0,0.0,0.0,0.0,27,cze,can-cze,2026,1.0,LW,2
20,BENAK Adam,F,1.0,2.0,3.0,0.0,1.0,3.0,14:55,23.0,0.0,0.0,0.0,27,cze,can-cze,2026,0.0,RW,2
23,GALVAS Tomas,D,0.0,1.0,1.0,0.0,4.0,4.0,21:25,25.0,0.0,0.0,0.0,27,cze,can-cze,2026,0.0,LD,2
3,PSENICKA Max,D,0.0,1.0,1.0,0.0,1.0,2.0,17:41,22.0,0.0,0.0,0.0,27,cze,can-cze,2026,0.0,RD,3
8,MAN Matyas,D,0.0,0.0,0.0,0.0,2.0,-1.0,16:41,22.0,0.0,0.0,0.0,27,cze,can-cze,2026,0.0,LD,3
22,TITLBACH Adam,F,1.0,0.0,1.0,0.0,3.0,0.0,9:50,15.0,0.0,0.0,0.0,27,cze,can-cze,2026,0.0,RW,3
