j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
4,SAHLIN WALLENIUS Leo,D,0.0,0.0,0.0,0.0,4.0,-1.0,28:10,32.0,0.0,0.0,0.0,29,swe,swe-cze,2026,0.0,RD,1
8,CARELL Felix,D,0.0,0.0,0.0,0.0,2.0,-1.0,22:33,27.0,0.0,0.0,0.0,29,swe,swe-cze,2026,0.0,LD,1
14,ERIKSSON Linus,F,0.0,0.0,0.0,2.0,4.0,-1.0,17:28,25.0,0.0,0.0,0.0,29,swe,swe-cze,2026,0.0,C,1
16,FRONDELL Anton,F,0.0,0.0,0.0,0.0,3.0,0.0,16:22,20.0,0.0,0.0,0.0,29,swe,swe-cze,2026,0.0,LW,1
18,EKLUND Victor,F,1.0,1.0,2.0,0.0,3.0,1.0,21:01,28.0,0.0,0.0,0.0,29,swe,swe-cze,2026,0.0,RW,1
3,OHRQVIST Felix,D,0.0,0.0,0.0,0.0,0.0,2.0,19:52,32.0,0.0,0.0,0.0,29,swe,swe-cze,2026,0.0,RD,2
5,BOUMEDIENNE Sascha,D,1.0,0.0,1.0,2.0,2.0,1.0,22:09,31.0,0.0,0.0,0.0,29,swe,swe-cze,2026,1.0,LD,2
15,STENBERG Ivar,F,1.0,2.0,3.0,2.0,3.0,2.0,18:47,22.0,0.0,0.0,0.0,29,swe,swe-cze,2026,0.0,LW,2
21,BJORCK Viggo,F,0.0,2.0,2.0,0.0,3.0,1.0,20:34,27.0,0.0,0.0,0.0,29,swe,swe-cze,2026,0.0,C,2
25,GENBORG Eddie,F,0.0,0.0,0.0,0.0,3.0,1.0,17:14,20.0,0.0,0.0,0.0,29,swe,swe-cze,2026,0.0,RW,2
11,PETTERSSON Lucas,F,0.0,0.0,0.0,0.0,1.0,-1.0,10:51,14.0,0.0,0.0,0.0,29,swe,swe-cze,2026,0.0,LW,3
19,HAKANSSON William,D,0.0,0.0,0.0,0.0,0.0,1.0,13:13,17.0,0.0,0.0,0.0,29,swe,swe-cze,2026,0.0,RD,3
20,FREIJ Alfons,D,0.0,0.0,0.0,0.0,1.0,0.0,13:37,20.0,0.0,0.0,0.0,29,swe,swe-cze,2026,0.0,LD,3
22,KRANTZ Loke,F,0.0,0.0,0.0,2.0,2.0,0.0,6:52,10.0,0.0,0.0,0.0,29,swe,swe-cze,2026,0.0,RW,3
26,BERGLUND Jack,F,0.0,2.0,2.0,0.0,1.0,0.0,17:43,22.0,0.0,0.0,0.0,29,swe,swe-cze,2026,0.0,C,3
9,JOHANSSON Victor,D,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,29,swe,swe-cze,2026,0.0,LD,4
27,BJORCK Wilson,F,0.0,0.0,0.0,0.0,0.0,0.0,5:55,8.0,0.0,0.0,0.0,29,swe,swe-cze,2026,0.0,LW,4
28,NILSON Eric,F,0.0,0.0,0.0,0.0,0.0,0.0,4:56,5.0,0.0,0.0,0.0,29,swe,swe-cze,2026,0.0,C,4
29,JUUSTOVAARA Casper,F,1.0,0.0,1.0,0.0,3.0,-1.0,13:08,16.0,0.0,0.0,0.0,29,swe,swe-cze,2026,0.0,RW,4
23,DANIELSSON Liam,F,0.0,0.0,0.0,0.0,0.0,0.0,1:48,2.0,0.0,0.0,0.0,29,swe,swe-cze,2026,0.0,LW,5
1,LIV Herman,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,29,swe,swe-cze,2026,0.0,GK,1
30,HARENSTAM Love,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,29,swe,swe-cze,2026,0.0,GK,2
1,LIV Herman,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,29,swe,swe-cze,2026,0.0,GK,1
30,HARENSTAM Love,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,29.0,2.0,27.0,29,swe,swe-cze,2026,0.0,GK,2
5,JIRICEK Adam,D,1.0,0.0,1.0,0.0,2.0,0.0,20:32,26.0,0.0,0.0,0.0,29,cze,swe-cze,2026,0.0,RD,1
7,FIBIGR Jakub,D,0.0,2.0,2.0,0.0,0.0,0.0,18:44,26.0,0.0,0.0,0.0,29,cze,swe-cze,2026,0.0,LD,1
14,NESTRASIL Vaclav,F,0.0,1.0,1.0,2.0,1.0,-1.0,17:52,21.0,0.0,0.0,0.0,29,cze,swe-cze,2026,0.0,RW,1
15,CIHAR Vojtech,F,0.0,1.0,1.0,2.0,1.0,0.0,19:04,23.0,0.0,0.0,0.0,29,cze,swe-cze,2026,0.0,LW,1
17,SIKORA Petr,F,0.0,0.0,0.0,0.0,4.0,0.0,20:07,25.0,0.0,0.0,0.0,29,cze,swe-cze,2026,0.0,C,1
6,MRTKA Radim,D,0.0,0.0,0.0,0.0,0.0,0.0,15:01,20.0,0.0,0.0,0.0,29,cze,swe-cze,2026,0.0,RD,2
12,CURRAN Maxmilian,F,0.0,0.0,0.0,0.0,0.0,-1.0,16:15,19.0,0.0,0.0,0.0,29,cze,swe-cze,2026,0.0,C,2
18,POLETIN Tomas,F,0.0,0.0,0.0,0.0,2.0,-2.0,16:38,21.0,0.0,0.0,0.0,29,cze,swe-cze,2026,0.0,LW,2
20,BENAK Adam,F,0.0,0.0,0.0,0.0,1.0,0.0,16:21,20.0,0.0,0.0,0.0,29,cze,swe-cze,2026,0.0,RW,2
23,GALVAS Tomas,D,0.0,0.0,0.0,0.0,2.0,-1.0,22:42,21.0,0.0,0.0,0.0,29,cze,swe-cze,2026,0.0,LD,2
3,PSENICKA Max,D,0.0,0.0,0.0,0.0,1.0,0.0,16:05,17.0,0.0,0.0,0.0,29,cze,swe-cze,2026,0.0,RD,3
8,MAN Matyas,D,0.0,0.0,0.0,0.0,0.0,0.0,14:15,17.0,0.0,0.0,0.0,29,cze,swe-cze,2026,0.0,LD,3
22,TITLBACH Adam,F,0.0,0.0,0.0,0.0,1.0,0.0,11:05,14.0,0.0,0.0,0.0,29,cze,swe-cze,2026,0.0,RW,3
24,NOVOTNY Adam,F,0.0,0.0,0.0,0.0,3.0,1.0,19:37,20.0,0.0,0.0,0.0,29,cze,swe-cze,2026,0.0,LW,3
25,HOCH Stepan,F,0.0,0.0,0.0,0.0,0.0,0.0,12:36,16.0,0.0,0.0,0.0,29,cze,swe-cze,2026,0.0,C,3
9,DRAVECKY Vladimir,D,0.0,0.0,0.0,0.0,0.0,0.0,4:22,4.0,0.0,0.0,0.0,29,cze,swe-cze,2026,0.0,LD,4
11,KUBIESA Matej,F,1.0,0.0,1.0,0.0,5.0,0.0,15:39,19.0,0.0,0.0,0.0,29,cze,swe-cze,2026,0.0,LW,4
21,KLIMA Jiri,F,0.0,0.0,0.0,0.0,3.0,0.0,11:32,16.0,0.0,0.0,0.0,29,cze,swe-cze,2026,0.0,RW,4
29,DRANCAK Samuel,F,0.0,0.0,0.0,0.0,2.0,0.0,11:03,15.0,0.0,0.0,0.0,29,cze,swe-cze,2026,0.0,C,4
19,CHLUDIL Danny,F,0.0,0.0,0.0,0.0,1.0,0.0,2:41,3.0,0.0,0.0,0.0,29,cze,swe-cze,2026,0.0,LW,5
1,MARIK Matyas,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,29,cze,swe-cze,2026,0.0,GK,2
30,ORSULAK Michal,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,29,cze,swe-cze,2026,0.0,GK,1
1,MARIK Matyas,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,29,cze,swe-cze,2026,0.0,GK,2
30,ORSULAK Michal,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,34.0,3.0,31.0,29,cze,swe-cze,2026,0.0,GK,1
