j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
6,SCHAMS Manuel,D,0.0,0.0,0.0,0.0,1.0,-2.0,19:58,24.0,0.0,0.0,0.0,3,ger,ger-usa,2026,0.0,LD,1
7,HANDEL Carlos,D,0.0,1.0,1.0,0.0,1.0,-1.0,21:08,25.0,0.0,0.0,0.0,3,ger,ger-usa,2026,0.0,RD,1
22,KOSE Timo,F,1.0,0.0,1.0,2.0,1.0,1.0,16:41,20.0,0.0,0.0,0.0,3,ger,ger-usa,2026,0.0,RW,1
25,SCHWARZ Tobias,F,0.0,1.0,1.0,0.0,2.0,0.0,16:31,22.0,0.0,0.0,0.0,3,ger,ger-usa,2026,0.0,LW,1
27,SEIDL Simon,F,1.0,0.0,1.0,0.0,1.0,2.0,17:14,21.0,0.0,0.0,0.0,3,ger,ger-usa,2026,0.0,C,1
8,HENSE Max,D,0.0,0.0,0.0,0.0,0.0,0.0,16:33,24.0,0.0,0.0,0.0,3,ger,ger-usa,2026,0.0,LD,2
11,LEWANDOWSKI David,F,0.0,0.0,0.0,0.0,1.0,-1.0,17:18,21.0,0.0,0.0,0.0,3,ger,ger-usa,2026,0.0,LW,2
17,BOOS Lenny,F,1.0,0.0,1.0,0.0,2.0,-2.0,16:41,22.0,0.0,0.0,0.0,3,ger,ger-usa,2026,0.0,C,2
18,KRETZSCHMAR Moritz,D,0.0,1.0,1.0,2.0,0.0,0.0,15:06,24.0,0.0,0.0,0.0,3,ger,ger-usa,2026,0.0,RD,2
19,WILLHOFT Dustin,F,0.0,2.0,2.0,0.0,1.0,-1.0,18:20,23.0,0.0,0.0,0.0,3,ger,ger-usa,2026,0.0,RW,2
4,BLEICHER Max,D,0.0,0.0,0.0,0.0,1.0,-2.0,14:23,18.0,0.0,0.0,0.0,3,ger,ger-usa,2026,0.0,LD,3
5,KOSE Fabio,D,0.0,0.0,0.0,0.0,0.0,-1.0,18:08,21.0,0.0,0.0,0.0,3,ger,ger-usa,2026,0.0,RD,3
9,PUL Elias,F,0.0,0.0,0.0,2.0,2.0,-1.0,12:13,17.0,0.0,0.0,0.0,3,ger,ger-usa,2026,0.0,LW,3
10,SCHAFER Maxim,F,0.0,0.0,0.0,0.0,1.0,-1.0,11:41,17.0,0.0,0.0,0.0,3,ger,ger-usa,2026,0.0,RW,3
24,SCHNEIDER Elias,F,0.0,0.0,0.0,0.0,1.0,-1.0,13:17,18.0,0.0,0.0,0.0,3,ger,ger-usa,2026,0.0,C,3
