j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
5,JIRICEK Adam,D,0.0,0.0,0.0,2.0,4.0,-2.0,23:04,27.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,RD,1
7,FIBIGR Jakub,D,0.0,0.0,0.0,0.0,1.0,0.0,22:49,27.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,LD,1
14,NESTRASIL Vaclav,F,0.0,2.0,2.0,2.0,1.0,2.0,16:09,21.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,RW,1
15,CIHAR Vojtech,F,1.0,2.0,3.0,0.0,5.0,3.0,17:02,22.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,LW,1
17,SIKORA Petr,F,1.0,1.0,2.0,0.0,5.0,1.0,17:39,23.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,C,1
3,PSENICKA Max,D,0.0,1.0,1.0,0.0,0.0,1.0,19:12,24.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,RD,2
12,CURRAN Maxmilian,F,0.0,0.0,0.0,0.0,1.0,1.0,18:23,22.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,C,2
18,POLETIN Tomas,F,2.0,0.0,2.0,0.0,2.0,0.0,18:37,22.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,LW,2
20,BENAK Adam,F,0.0,2.0,2.0,0.0,2.0,0.0,18:20,18.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,RW,2
23,GALVAS Tomas,D,1.0,1.0,2.0,0.0,1.0,0.0,21:08,25.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,LD,2
8,MAN Matyas,D,0.0,1.0,1.0,2.0,1.0,0.0,16:51,21.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,LD,3
9,DRAVECKY Vladimir,D,0.0,0.0,0.0,0.0,0.0,-1.0,14:17,18.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,RD,3
21,KLIMA Jiri,F,0.0,0.0,0.0,0.0,0.0,-3.0,12:31,16.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,LW,3
24,NOVOTNY Adam,F,0.0,0.0,0.0,0.0,5.0,-4.0,16:21,19.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,RW,3
25,HOCH Stepan,F,0.0,0.0,0.0,0.0,1.0,-3.0,13:20,18.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,C,3
11,KUBIESA Matej,F,0.0,0.0,0.0,0.0,1.0,0.0,10:53,15.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,RW,4
16,ZEMLICKA Richard,F,0.0,0.0,0.0,0.0,2.0,0.0,10:05,15.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,C,4
22,TITLBACH Adam,F,0.0,0.0,0.0,0.0,1.0,0.0,8:45,13.0,0.0,0.0,0.0,4,cze,cze-can,2026,0.0,LW,4
