j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
10,POBEZAL Tomas,F,0.0,0.0,0.0,0.0,2.0,-1.0,12:33,19.0,0.0,0.0,0.0,5,svk,svk-ger,2026,0.0,C,1
11,SVRCEK Michal,F,0.0,1.0,1.0,0.0,2.0,0.0,14:54,17.0,0.0,0.0,0.0,5,svk,svk-ger,2026,0.0,RW,1
14,MISIAK Alex,F,0.0,0.0,0.0,0.0,1.0,-1.0,11:40,16.0,0.0,0.0,0.0,5,svk,svk-ger,2026,0.0,LW,1
25,FABUS Andrej,D,0.0,0.0,0.0,0.0,1.0,2.0,18:43,23.0,0.0,0.0,0.0,5,svk,svk-ger,2026,0.0,LD,1
26,RADIVOJEVIC Luka,D,0.0,1.0,1.0,2.0,4.0,0.0,22:00,23.0,0.0,0.0,0.0,5,svk,svk-ger,2026,0.0,RD,1
6,CAPOS Michal,D,0.0,0.0,0.0,0.0,0.0,0.0,17:06,21.0,0.0,0.0,0.0,5,svk,svk-ger,2026,0.0,RD,2
7,KALMAN Adam,D,0.0,0.0,0.0,0.0,2.0,-1.0,19:06,24.0,0.0,0.0,0.0,5,svk,svk-ger,2026,0.0,LD,2
12,CHOVAN Jan,F,0.0,0.0,0.0,0.0,1.0,0.0,18:08,22.0,0.0,0.0,0.0,5,svk,svk-ger,2026,0.0,LW,2
13,TOMIK Tobias,F,0.0,0.0,0.0,0.0,1.0,-1.0,14:42,18.0,0.0,0.0,0.0,5,svk,svk-ger,2026,0.0,RW,2
28,PITKA Tobias,F,0.0,0.0,0.0,0.0,5.0,0.0,17:04,22.0,0.0,0.0,0.0,5,svk,svk-ger,2026,0.0,C,2
18,MURIN Samuel,F,0.0,1.0,1.0,0.0,0.0,1.0,13:56,18.0,0.0,0.0,0.0,5,svk,svk-ger,2026,0.0,RW,3
21,NEMEC Adam,F,0.0,2.0,2.0,0.0,2.0,2.0,17:35,22.0,0.0,0.0,0.0,5,svk,svk-ger,2026,0.0,LW,3
22,GOLJER Adam,D,0.0,0.0,0.0,0.0,1.0,0.0,14:10,18.0,0.0,0.0,0.0,5,svk,svk-ger,2026,0.0,RD,3
27,BELUSKO Adam,D,1.0,0.0,1.0,0.0,2.0,1.0,12:52,18.0,0.0,0.0,0.0,5,svk,svk-ger,2026,0.0,LD,3
29,CHRENKO Tomas,F,3.0,0.0,3.0,0.0,9.0,1.0,16:57,19.0,0.0,0.0,0.0,5,svk,svk-ger,2026,1.0,C,3
5,KOVALCIK Filip,D,0.0,0.0,0.0,0.0,0.0,0.0,6:37,12.0,0.0,0.0,0.0,5,svk,svk-ger,2026,0.0,LD,4
15,STRAKA Andreas,F,0.0,1.0,1.0,0.0,3.0,0.0,18:32,22.0,0.0,0.0,0.0,5,svk,svk-ger,2026,0.0,LW,4
23,DUBRAVIK Jakub,F,0.0,0.0,0.0,0.0,2.0,1.0,13:28,22.0,0.0,0.0,0.0,5,svk,svk-ger,2026,0.0,RW,4
24,TOMKA Lukas,F,0.0,0.0,0.0,2.0,0.0,0.0,13:39,22.0,0.0,0.0,0.0,5,svk,svk-ger,2026,0.0,C,4
19,GASO Alex,F,0.0,0.0,0.0,0.0,0.0,0.0,2:55,3.0,0.0,0.0,0.0,5,svk,svk-ger,2026,0.0,LW,5
1,PRADEL Michal,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5,svk,svk-ger,2026,0.0,GK,1
30,LENDAK Alan,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5,svk,svk-ger,2026,0.0,GK,2
1,PRADEL Michal,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,35.0,1.0,34.0,5,svk,svk-ger,2026,0.0,GK,1
30,LENDAK Alan,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5,svk,svk-ger,2026,0.0,GK,2
8,HENSE Max,D,0.0,0.0,0.0,2.0,1.0,1.0,17:19,23.0,0.0,0.0,0.0,5,ger,svk-ger,2026,0.0,RD,1
11,LEWANDOWSKI David,F,0.0,1.0,1.0,0.0,0.0,0.0,19:35,21.0,0.0,0.0,0.0,5,ger,svk-ger,2026,0.0,LW,1
