j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
10,CJUNSKIS Harijs,D,0.0,0.0,0.0,0.0,1.0,0.0,18:50,22.0,0.0,0.0,0.0,6,lat,lat-can,2026,0.0,LD,1
14,MURNIEKS Olivers,F,0.0,0.0,0.0,0.0,1.0,0.0,19:36,28.0,0.0,0.0,0.0,6,lat,lat-can,2026,0.0,C,1
18,NAUDINS Roberts,F,0.0,0.0,0.0,2.0,0.0,0.0,21:47,28.0,0.0,0.0,0.0,6,lat,lat-can,2026,0.0,LW,1
19,OSMANIS Bruno,F,0.0,0.0,0.0,0.0,1.0,0.0,15:52,25.0,0.0,0.0,0.0,6,lat,lat-can,2026,0.0,RW,1
23,SMITS Alberts,D,0.0,0.0,0.0,0.0,3.0,1.0,23:53,28.0,0.0,0.0,0.0,6,lat,lat-can,2026,0.0,RD,1
7,BERZKALNS Rudolfs,F,1.0,0.0,1.0,0.0,1.0,1.0,11:53,19.0,0.0,0.0,0.0,6,lat,lat-can,2026,0.0,C,2
11,DILEVKA Dmitrijs,F,0.0,1.0,1.0,0.0,5.0,1.0,17:07,22.0,0.0,0.0,0.0,6,lat,lat-can,2026,0.0,LW,2
15,ULJANSKIS Darels,D,0.0,0.0,0.0,0.0,2.0,0.0,17:09,21.0,0.0,0.0,0.0,6,lat,lat-can,2026,0.0,RD,2
24,SERKINS Daniels,F,0.0,0.0,0.0,2.0,0.0,1.0,19:55,25.0,0.0,0.0,0.0,6,lat,lat-can,2026,0.0,RW,2
26,BRIEDIS Oskars,D,0.0,0.0,0.0,0.0,2.0,0.0,18:08,25.0,0.0,0.0,0.0,6,lat,lat-can,2026,0.0,LD,2
2,SARTS Krisjanis,D,0.0,1.0,1.0,0.0,1.0,1.0,12:45,22.0,0.0,0.0,0.0,6,lat,lat-can,2026,0.0,LD,3
6,VITOLS Martins,D,0.0,0.0,0.0,0.0,0.0,0.0,11:46,21.0,0.0,0.0,0.0,6,lat,lat-can,2026,0.0,RD,3
8,KLAUCANS Martins,F,0.0,0.0,0.0,25.0,0.0,0.0,4:36,8.0,0.0,0.0,0.0,6,lat,lat-can,2026,0.0,C,3
27,SIERADZKIS Markuss,F,0.0,0.0,0.0,0.0,4.0,0.0,11:24,17.0,0.0,0.0,0.0,6,lat,lat-can,2026,0.0,RW,3
28,FLUGINS Karlis,F,0.0,0.0,0.0,0.0,1.0,0.0,9:19,19.0,0.0,0.0,0.0,6,lat,lat-can,2026,0.0,LW,3
17,ANSONS Kristers,F,0.0,0.0,0.0,0.0,0.0,0.0,12:18,16.0,0.0,0.0,0.0,6,lat,lat-can,2026,0.0,LW,4
20,UTNANS Kristians,F,0.0,0.0,0.0,0.0,0.0,0.0,11:34,15.0,0.0,0.0,0.0,6,lat,lat-can,2026,0.0,RW,4
21,RETENAIS Krists,D,0.0,0.0,0.0,0.0,2.0,0.0,12:24,17.0,0.0,0.0,0.0,6,lat,lat-can,2026,0.0,LD,4
22,MACIJEVSKIS Antons,F,0.0,0.0,0.0,0.0,2.0,0.0,16:57,21.0,0.0,0.0,0.0,6,lat,lat-can,2026,0.0,C,4
16,POLIS Roberts,F,0.0,0.0,0.0,0.0,1.0,0.0,5:36,11.0,0.0,0.0,0.0,6,lat,lat-can,2026,0.0,LW,5
1,VECVANAGS Mikus,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6,lat,lat-can,2026,0.0,GK,2
30,MAURINS Nils,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6,lat,lat-can,2026,0.0,GK,1
1,VECVANAGS Mikus,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6,lat,lat-can,2026,0.0,GK,2
30,MAURINS Nils,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,36.0,1.0,35.0,6,lat,lat-can,2026,0.0,GK,1
7,MISA Michael,F,0.0,0.0,0.0,0.0,3.0,0.0,18:23,20.0,0.0,0.0,0.0,6,can,lat-can,2026,0.0,C,1
10,REID Cameron,D,0.0,0.0,0.0,0.0,0.0,0.0,18:14,21.0,0.0,0.0,0.0,6,can,lat-can,2026,0.0,LD,1
11,IGINLA Tij,F,0.0,0.0,0.0,0.0,4.0,0.0,18:29,20.0,0.0,0.0,0.0,6,can,lat-can,2026,0.0,LW,1
19,PAREKH Zayne,D,0.0,0.0,0.0,0.0,4.0,0.0,22:27,23.0,0.0,0.0,0.0,6,can,lat-can,2026,0.0,RD,1
22,MARTONE Porter,F,0.0,0.0,0.0,0.0,2.0,0.0,19:33,20.0,0.0,0.0,0.0,6,can,lat-can,2026,0.0,RW,1
4,BRUNICKE Harrison,D,0.0,1.0,1.0,0.0,1.0,-1.0,21:18,22.0,0.0,0.0,0.0,6,can,lat-can,2026,0.0,RD,2
9,McKENNA Gavin,F,0.0,1.0,1.0,0.0,2.0,-1.0,17:31,19.0,0.0,0.0,0.0,6,can,lat-can,2026,0.0,LW,2
13,MacKENZIE Ethan,D,0.0,0.0,0.0,0.0,0.0,0.0,15:24,17.0,0.0,0.0,0.0,6,can,lat-can,2026,0.0,LD,2
28,MARTIN Brady,F,0.0,0.0,0.0,0.0,2.0,-1.0,15:46,17.0,0.0,0.0,0.0,6,can,lat-can,2026,0.0,RW,2
29,HAGE Michael,F,0.0,0.0,0.0,0.0,5.0,-1.0,16:10,18.0,0.0,0.0,0.0,6,can,lat-can,2026,1.0,C,2
2,AITCHESON Kashawn,D,0.0,0.0,0.0,0.0,0.0,0.0,10:26,11.0,0.0,0.0,0.0,6,can,lat-can,2026,0.0,LD,3
14,DANFORD Ben,D,0.0,0.0,0.0,4.0,3.0,0.0,13:18,20.0,0.0,0.0,0.0,6,can,lat-can,2026,0.0,RD,3
23,O'REILLY Sam,F,0.0,0.0,0.0,0.0,4.0,0.0,15:26,20.0,0.0,0.0,0.0,6,can,lat-can,2026,0.0,RW,3
