j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
6,KLEBER Adam,D,0.0,0.0,0.0,0.0,1.0,1.0,24:41,24.0,0.0,0.0,0.0,7,usa,usa-sui,2026,0.0,RD,1
10,HAGENS James,F,0.0,1.0,1.0,0.0,0.0,1.0,20:17,19.0,0.0,0.0,0.0,7,usa,usa-sui,2026,0.0,C,1
24,HORCOFF Will,F,0.0,1.0,1.0,0.0,1.0,1.0,17:54,18.0,0.0,0.0,0.0,7,usa,usa-sui,2026,0.0,LW,1
44,HUTSON Cole,D,0.0,0.0,0.0,0.0,1.0,0.0,13:04,13.0,0.0,0.0,0.0,7,usa,usa-sui,2026,0.0,LD,1
74,ZIEMER Brodie,F,1.0,0.0,1.0,0.0,2.0,2.0,15:07,18.0,0.0,0.0,0.0,7,usa,usa-sui,2026,0.0,RW,1
2,OSBURN Luke,D,0.0,0.0,0.0,0.0,4.0,0.0,20:30,22.0,0.0,0.0,0.0,7,usa,usa-sui,2026,0.0,LD,2
8,SPELLACY AJ,F,0.0,0.0,0.0,0.0,0.0,-1.0,14:38,20.0,0.0,0.0,0.0,7,usa,usa-sui,2026,0.0,C,2
18,MOONEY LJ,F,0.0,0.0,0.0,0.0,3.0,-1.0,16:38,20.0,0.0,0.0,0.0,7,usa,usa-sui,2026,0.0,RW,2
25,REID Chase,D,0.0,0.0,0.0,0.0,1.0,1.0,19:42,21.0,0.0,0.0,0.0,7,usa,usa-sui,2026,0.0,RD,2
26,PLANTE Max,F,0.0,0.0,0.0,0.0,1.0,-1.0,17:35,22.0,0.0,0.0,0.0,7,usa,usa-sui,2026,0.0,LW,2
5,HENSLER Logan,D,0.0,0.0,0.0,2.0,0.0,0.0,9:56,15.0,0.0,0.0,0.0,7,usa,usa-sui,2026,0.0,RD,3
11,McKINNEY Cole,F,0.0,1.0,1.0,0.0,1.0,1.0,10:30,15.0,0.0,0.0,0.0,7,usa,usa-sui,2026,0.0,C,3
12,ZELLERS Will,F,1.0,0.0,1.0,0.0,1.0,1.0,11:10,13.0,0.0,0.0,0.0,7,usa,usa-sui,2026,1.0,LW,3
14,BARNETT Asher,D,0.0,0.0,0.0,2.0,1.0,0.0,15:42,20.0,0.0,0.0,0.0,7,usa,usa-sui,2026,0.0,LD,3
22,McMORROW Brendan,F,0.0,0.0,0.0,0.0,0.0,0.0,10:48,16.0,0.0,0.0,0.0,7,usa,usa-sui,2026,0.0,RW,3
4,STIGA Teddy,F,0.0,0.0,0.0,0.0,1.0,0.0,14:28,20.0,0.0,0.0,0.0,7,usa,usa-sui,2026,0.0,LW,4
16,EMERY EJ,D,0.0,0.0,0.0,0.0,0.0,0.0,11:21,11.0,0.0,0.0,0.0,7,usa,usa-sui,2026,0.0,LD,4
34,EISERMAN Cole,F,0.0,0.0,0.0,0.0,2.0,0.0,12:41,13.0,0.0,0.0,0.0,7,usa,usa-sui,2026,0.0,RW,4
38,BEDNARIK Kamil,F,0.0,0.0,0.0,0.0,0.0,0.0,10:23,14.0,0.0,0.0,0.0,7,usa,usa-sui,2026,0.0,C,4
17,LEE Ryker,F,0.0,0.0,0.0,0.0,0.0,0.0,9:06,9.0,0.0,0.0,0.0,7,usa,usa-sui,2026,0.0,LW,5
30,HEIL Caleb,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7,usa,usa-sui,2026,0.0,GK,2
31,KEMPF Nicholas,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7,usa,usa-sui,2026,0.0,GK,1
30,HEIL Caleb,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7,usa,usa-sui,2026,0.0,GK,2
31,KEMPF Nicholas,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17.0,1.0,16.0,7,usa,usa-sui,2026,0.0,GK,1
19,NEUENSCHWANDER Jonah,F,0.0,0.0,0.0,0.0,2.0,-2.0,18:17,21.0,0.0,0.0,0.0,7,sui,usa-sui,2026,0.0,C,1
28,USTINKOV Daniil,D,0.0,0.0,0.0,0.0,0.0,-2.0,19:01,25.0,0.0,0.0,0.0,7,sui,usa-sui,2026,0.0,LD,1
39,REBER Jamiro,F,0.0,0.0,0.0,2.0,0.0,-2.0,18:01,24.0,0.0,0.0,0.0,7,sui,usa-sui,2026,0.0,LW,1
41,MUGGLI Leon,D,0.0,0.0,0.0,0.0,2.0,-1.0,23:25,29.0,0.0,0.0,0.0,7,sui,usa-sui,2026,0.0,RD,1
77,WEY Loris,F,0.0,0.0,0.0,0.0,0.0,-1.0,17:18,23.0,0.0,0.0,0.0,7,sui,usa-sui,2026,0.0,RW,1
13,SANSONNENS Basile,D,1.0,0.0,1.0,0.0,1.0,1.0,17:12,25.0,0.0,0.0,0.0,7,sui,usa-sui,2026,0.0,RD,2
15,STEINER Lars,F,0.0,1.0,1.0,0.0,1.0,0.0,20:12,23.0,0.0,0.0,0.0,7,sui,usa-sui,2026,0.0,RW,2
26,JOHNSON Ludvig,D,0.0,0.0,0.0,2.0,0.0,1.0,20:47,26.0,0.0,0.0,0.0,7,sui,usa-sui,2026,0.0,LD,2
78,GROSSNIKLAUS Joel,F,0.0,1.0,1.0,0.0,0.0,1.0,12:49,20.0,0.0,0.0,0.0,7,sui,usa-sui,2026,0.0,C,2
88,ANTENEN Robin,F,0.0,0.0,0.0,2.0,1.0,0.0,14:48,20.0,0.0,0.0,0.0,7,sui,usa-sui,2026,0.0,LW,2
7,HENRY Cyrill,F,0.0,0.0,0.0,0.0,3.0,1.0,15:03,22.0,0.0,0.0,0.0,7,sui,usa-sui,2026,0.0,RW,3
8,MEIER Gian,D,0.0,0.0,0.0,0.0,2.0,-1.0,19:17,27.0,0.0,0.0,0.0,7,sui,usa-sui,2026,0.0,RD,3
14,BLESSING Niklas,D,0.0,0.0,0.0,0.0,1.0,0.0,18:00,27.0,0.0,0.0,0.0,7,sui,usa-sui,2026,0.0,LD,3
62,AESCHLIMANN Mike,F,0.0,0.0,0.0,0.0,0.0,0.0,12:42,16.0,0.0,0.0,0.0,7,sui,usa-sui,2026,0.0,LW,3
96,MOTTARD Paul,F,0.0,0.0,0.0,0.0,0.0,0.0,14:57,23.0,0.0,0.0,0.0,7,sui,usa-sui,2026,0.0,C,3
6,GEISSER Mischa,D,0.0,0.0,0.0,0.0,0.0,0.0,0:00,0.0,0.0,0.0,0.0,7,sui,usa-sui,2026,0.0,LD,4
9,CATTIN Nolan,F,0.0,0.0,0.0,0.0,1.0,0.0,8:43,17.0,0.0,0.0,0.0,7,sui,usa-sui,2026,0.0,RW,4
11,BORRADORI Nathan,F,0.0,0.0,0.0,0.0,1.0,0.0,9:59,18.0,0.0,0.0,0.0,7,sui,usa-sui,2026,0.0,LW,4
71,WAIDACHER Beni,F,0.0,0.0,0.0,0.0,2.0,0.0,10:40,18.0,0.0,0.0,0.0,7,sui,usa-sui,2026,0.0,C,4
89,KOERBLER Kimi,F,0.0,0.0,0.0,0.0,0.0,0.0,4:25,8.0,0.0,0.0,0.0,7,sui,usa-sui,2026,0.0,LW,5
35,NEUENSCHWANDER Elijah,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7,sui,usa-sui,2026,0.0,GK,2
65,KIRSCH Christian,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7,sui,usa-sui,2026,0.0,GK,1
35,NEUENSCHWANDER Elijah,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7,sui,usa-sui,2026,0.0,GK,2
65,KIRSCH Christian,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,20.0,2.0,18.0,7,sui,usa-sui,2026,0.0,GK,1
