j#,name,pos,g,a,p,pim,ts,+/-,tot,shf,sog,ga,svs,game_id,team,matchup,year,gwg,Pos,Pos_ID
4,SAHLIN WALLENIUS Leo,D,0.0,1.0,1.0,0.0,0.0,2.0,20:13,24.0,0.0,0.0,0.0,9,swe,swe-sui,2026,0.0,RD,1
8,CARELL Felix,D,0.0,0.0,0.0,0.0,1.0,3.0,17:31,24.0,0.0,0.0,0.0,9,swe,swe-sui,2026,0.0,LD,1
16,FRONDELL Anton,F,0.0,1.0,1.0,0.0,0.0,1.0,19:01,20.0,0.0,0.0,0.0,9,swe,swe-sui,2026,0.0,LW,1
18,EKLUND Victor,F,0.0,0.0,0.0,0.0,2.0,1.0,21:43,21.0,0.0,0.0,0.0,9,swe,swe-sui,2026,0.0,RW,1
28,NILSON Eric,F,1.0,1.0,2.0,0.0,2.0,1.0,14:44,17.0,0.0,0.0,0.0,9,swe,swe-sui,2026,0.0,C,1
3,OHRQVIST Felix,D,0.0,0.0,0.0,2.0,1.0,-1.0,15:27,23.0,0.0,0.0,0.0,9,swe,swe-sui,2026,0.0,RD,2
5,BOUMEDIENNE Sascha,D,0.0,0.0,0.0,0.0,4.0,-2.0,19:10,24.0,0.0,0.0,0.0,9,swe,swe-sui,2026,0.0,LD,2
15,STENBERG Ivar,F,0.0,1.0,1.0,0.0,4.0,0.0,16:58,19.0,0.0,0.0,0.0,9,swe,swe-sui,2026,0.0,LW,2
21,BJORCK Viggo,F,1.0,0.0,1.0,0.0,1.0,1.0,19:26,26.0,0.0,0.0,0.0,9,swe,swe-sui,2026,0.0,C,2
25,GENBORG Eddie,F,0.0,0.0,0.0,0.0,1.0,0.0,16:21,18.0,0.0,0.0,0.0,9,swe,swe-sui,2026,0.0,RW,2
11,PETTERSSON Lucas,F,2.0,0.0,2.0,0.0,4.0,1.0,15:00,17.0,0.0,0.0,0.0,9,swe,swe-sui,2026,1.0,LW,3
19,HAKANSSON William,D,0.0,0.0,0.0,4.0,0.0,0.0,14:55,19.0,0.0,0.0,0.0,9,swe,swe-sui,2026,0.0,RD,3
20,FREIJ Alfons,D,0.0,1.0,1.0,0.0,5.0,2.0,19:23,22.0,0.0,0.0,0.0,9,swe,swe-sui,2026,0.0,LD,3
22,KRANTZ Loke,F,0.0,0.0,0.0,0.0,0.0,-1.0,6:11,8.0,0.0,0.0,0.0,9,swe,swe-sui,2026,0.0,RW,3
26,BERGLUND Jack,F,0.0,0.0,0.0,0.0,0.0,1.0,15:57,19.0,0.0,0.0,0.0,9,swe,swe-sui,2026,0.0,C,3
9,JOHANSSON Victor,D,0.0,0.0,0.0,0.0,0.0,0.0,6:23,9.0,0.0,0.0,0.0,9,swe,swe-sui,2026,0.0,LD,4
12,GASTRIN Milton,F,0.0,0.0,0.0,0.0,0.0,0.0,10:23,14.0,0.0,0.0,0.0,9,swe,swe-sui,2026,0.0,C,4
14,ERIKSSON Linus,F,0.0,0.0,0.0,0.0,3.0,0.0,12:30,15.0,0.0,0.0,0.0,9,swe,swe-sui,2026,0.0,LW,4
29,JUUSTOVAARA Casper,F,0.0,0.0,0.0,0.0,2.0,0.0,10:09,15.0,0.0,0.0,0.0,9,swe,swe-sui,2026,0.0,RW,4
23,DANIELSSON Liam,F,0.0,1.0,1.0,0.0,0.0,1.0,5:53,7.0,0.0,0.0,0.0,9,swe,swe-sui,2026,0.0,LW,5
1,LIV Herman,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,swe,swe-sui,2026,0.0,GK,1
30,HARENSTAM Love,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,swe,swe-sui,2026,0.0,GK,2
1,LIV Herman,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,swe,swe-sui,2026,0.0,GK,1
30,HARENSTAM Love,GK,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,29.0,2.0,27.0,9,swe,swe-sui,2026,0.0,GK,2
19,NEUENSCHWANDER Jonah,F,0.0,0.0,0.0,2.0,1.0,-2.0,14:58,22.0,0.0,0.0,0.0,9,sui,swe-sui,2026,0.0,C,1
28,USTINKOV Daniil,D,0.0,2.0,2.0,0.0,2.0,1.0,19:56,25.0,0.0,0.0,0.0,9,sui,swe-sui,2026,0.0,LD,1
39,REBER Jamiro,F,0.0,0.0,0.0,0.0,2.0,-1.0,16:04,22.0,0.0,0.0,0.0,9,sui,swe-sui,2026,0.0,LW,1
