,name,club,team,year,height,weight,age,tournament,NHL
0,SKJEI Brady,University of Minnesota,usa,2014,1.88,196,19.783561643835615,1,0.0
1,McCOSHEN Ian,Boston College,usa,2014,1.88,207,18.421917808219177,1,0.0
2,BUTCHER Will,University of Denver,usa,2014,1.80,174,19.0,1,0.0
3,SLAVIN Jaccob,Colorado College,usa,2014,1.91,194,19.684931506849313,1,0.0
4,GRZELCYK Matt,Boston University,usa,2014,1.75,174,20.002739726027396,1,0.0
5,COPP Andrew,University of Michigan,usa,2014,1.85,205,19.4986301369863,1,0.0
6,O REGAN Daniel,Boston University,usa,2014,1.78,176,19.934246575342467,1,0.0
7,BARBER Riley,Miami Ohio University,usa,2014,1.80,185,19.912328767123288,1,0.0
8,HINOSTROZA Vince,University of Notre Dame,usa,2014,1.75,170,19.76164383561644,1,0.0
9,DIPAULI Thomas,University of Notre Dame,usa,2014,1.80,185,19.69041095890411,1,0.0
10,EICHEL Jack,U.S. National U18,usa,2014,1.85,192,17.18904109589041,1,0.0
11,SANTINI Steven,Boston College,usa,2014,1.88,207,18.835616438356166,1,0.0
12,KERDILES Nicolas,University of Wisconsin,usa,2014,1.88,196,19.986301369863014,1,0.0
13,ERNE Adam,Quebec Remparts,usa,2014,1.83,209,18.715068493150685,1,0.0
14,HARTMAN Ryan,Plymouth Whalers,usa,2014,1.80,190,19.295890410958904,1,0.0
15,FASCHING Hudson,University of Minnesota,usa,2014,1.88,201,18.443835616438356,1,0.0
16,MATTEAU Stefan,Albany Devils,usa,2014,1.85,216,19.86849315068493,1,0.0
17,SHORE Quentin,University of Denver,usa,2014,1.85,185,19.61917808219178,1,0.0
18,STEPAN Zach,Minnesota State University Mankato,usa,2014,1.80,174,20.0,1,0.0
19,CARRICK Connor,Hershey Bears,usa,2014,1.80,190,19.734246575342464,1,0.0
20,STOLARZ Anthony,London Knights,usa,2014,1.98,220,19.96164383561644,1,0.0
21,GILLIES Jon,Providence College,usa,2014,1.96,216,19.956164383561642,1,0.0
22,DEMKO Thatcher,Boston College,usa,2014,1.91,190,18.07945205479452,1,0.0
23,PATERSON Jake,Saginaw Spirit,can,2014,1.83,185,19.67945205479452,1,0.0
24,PELECH Adam,Erie Otters,can,2014,1.88,216,19.39178082191781,1,0.0
25,BIGRAS Chris,Owen Sound Attack,can,2014,1.84,190,18.87123287671233,1,0.0
26,EKBLAD Aaron,Barrie Colts,can,2014,1.92,216,17.912328767123288,1,0.0
27,MORRISSEY Josh,Prince Albert Raiders,can,2014,1.83,185,18.778082191780822,1,0.0
28,REINHART Griffin,Edmonton Oil Kings,can,2014,1.92,212,19.95068493150685,1,0.0
29,HUDON Charles,Chicoutimi Sagueneens,can,2014,1.79,176,19.53972602739726,1,0.0
30,HORVAT Bo,London Knights,can,2014,1.83,203,18.756164383561643,1,0.0
31,LEIER Taylor,Portland Winterhawks,can,2014,1.80,176,19.89041095890411,1,0.0
32,POULIOT Derrick,Portland Winterhawks,can,2014,1.83,203,19.972602739726028,1,0.0
33,RYCHEL Kerby,Windsor Spitfires,can,2014,1.85,205,19.24931506849315,1,0.0
34,McDAVID Connor,Erie Otters,can,2014,1.83,183,16.97808219178082,1,0.0
35,PETAN Nic,Portland Winterhawks,can,2014,1.75,168,18.794520547945204,1,0.0
36,LAUGHTON Scott,Oshawa Generals,can,2014,1.85,190,19.605479452054794,1,0.0
37,GAUTHIER Frederik,Rimouski Oceanic,can,2014,1.93,216,18.698630136986303,1,0.0
38,REINHART Sam,Kootenay Ice,can,2014,1.85,183,18.167123287671235,1,0.0
39,DUMBA Matt,Minnesota Wild,can,2014,1.83,183,19.45205479452055,1,1.0
40,ANDERSON Josh,London Knights,can,2014,1.88,201,19.66849315068493,1,0.0
