,j#,name,pos,g,a,p,pim,ts,+/-,sog,ga,svs,game_id,team,matchup,year,gwg,minutes,gp,OGS,DGS,GGS,GS,FP
0,28,KALTSOU Kanstantsin,F,4,3,0,30,10,-4,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,5.625,-0.971714433839383,0.0,4.653285566160617,9.0
1,10,KURYLIN Yauhenni,F,2,5,7,2,20,-10,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,6.125,-1.6467144338393833,0.0,4.478285566160617,8.0
2,7,BELY Pavel,F,2,4,6,0,24,-3,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,5.8,-0.859214433839383,0.0,4.940785566160617,7.0
3,27,SHAVIALIOU Andrei,F,2,0,2,20,12,-9,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,2.4,-1.534214433839383,0.0,0.8657855661606169,3.0
4,30,AUSIANNIKAU Andrei,F,0,2,2,4,5,-1,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,1.625,-0.6342144338393831,0.0,0.9907855661606169,2.0
5,5,NAVITSKI Vadzim,D,0,2,2,4,7,-3,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,1.775,-1.718428867678766,0.0,0.0565711323212339,2.0
6,18,SLYSH Maksim,F,0,2,2,2,11,-11,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,2.075,-1.7592144338393831,0.0,0.31578556616061704,2.0
7,15,MAROZ Andrei,F,1,0,1,0,8,-4,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,1.35,-0.971714433839383,0.0,0.37828556616061704,1.5
8,4,ANDREYEU Aliaksei,D,1,0,1,22,9,-7,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,1.4249999999999998,-2.618428867678766,0.0,-1.193428867678766,1.5
9,25,KRYVAMAZ Yauheni,D,1,0,1,8,9,-9,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,1.4249999999999998,-3.068428867678766,0.0,-1.6434288676787663,1.5
10,23,PAKLIN Siarhei,D,0,1,1,0,3,-2,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,0.85,-1.4934288676787661,0.0,-0.6434288676787662,1.0
11,21,POLIUKH Aliaksandr,F,0,1,1,4,9,-10,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,1.2999999999999998,-1.6467144338393833,0.0,-0.3467144338393835,1.0
12,22,BUBENSHCHYKAU Ilya,F,0,0,0,0,4,-3,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,0.3,-0.859214433839383,0.0,-0.559214433839383,0.0
13,6,HRYHARTSEVICH Dzianis,D,0,0,0,8,3,-3,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,0.22499999999999998,-1.718428867678766,0.0,-1.493428867678766,0.0
14,17,VALCHOK Pavel,F,0,0,0,0,1,-3,0,0,0,1,blr,blr-all,1999,0,90.0,6.0,0.075,-0.859214433839383,0.0,-0.784214433839383,0.0
